comparison,ref,query,variable,value
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,query_mrnas,94
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,query_mrnas,95
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,query_mrnas,91
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,query_mrnas,87
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,query_mrnas,88
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,query_mrnas,87
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,query_mrnas,88
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,query_mrnas,94
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,query_mrnas,88
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,query_mrnas,91
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,query_mrnas,95
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,query_mrnas,91
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,query_mrnas,95
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,query_mrnas,88
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,query_mrnas,87
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,query_mrnas,94
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,query_mrnas,95
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,query_mrnas,94
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,query_mrnas,91
