Name	Size(bp)
ilHelHell1.1_Chr16_1	5179
ilHelHell1.1_Chr16_10	1377
ilHelHell1.1_Chr16_100	3875
ilHelHell1.1_Chr16_1000	8033
ilHelHell1.1_Chr16_1001	39142
ilHelHell1.1_Chr16_1002	432
ilHelHell1.1_Chr16_1003	1053
ilHelHell1.1_Chr16_1004	527
ilHelHell1.1_Chr16_1005	34531
ilHelHell1.1_Chr16_1006	20490
ilHelHell1.1_Chr16_1007	9115
ilHelHell1.1_Chr16_1008	954
ilHelHell1.1_Chr16_1009	2598
ilHelHell1.1_Chr16_101	10039
ilHelHell1.1_Chr16_1010	4152
ilHelHell1.1_Chr16_1011	86469
ilHelHell1.1_Chr16_1012	636
ilHelHell1.1_Chr16_1013	4613
ilHelHell1.1_Chr16_1014	50063
ilHelHell1.1_Chr16_1015	12781
ilHelHell1.1_Chr16_1016	1239
ilHelHell1.1_Chr16_1017	3005
ilHelHell1.1_Chr16_1018	123180
ilHelHell1.1_Chr16_1019	225
ilHelHell1.1_Chr16_102	11281
ilHelHell1.1_Chr16_1020	14149
ilHelHell1.1_Chr16_1021	516
ilHelHell1.1_Chr16_1022	30435
ilHelHell1.1_Chr16_1023	10664
ilHelHell1.1_Chr16_1024	48548
ilHelHell1.1_Chr16_1025	1535
ilHelHell1.1_Chr16_1026	8458
ilHelHell1.1_Chr16_1027	12166
ilHelHell1.1_Chr16_1028	8261
ilHelHell1.1_Chr16_1029	12234
ilHelHell1.1_Chr16_103	959
ilHelHell1.1_Chr16_1030	1882
ilHelHell1.1_Chr16_1031	4322
ilHelHell1.1_Chr16_1032	18395
ilHelHell1.1_Chr16_1033	7808
ilHelHell1.1_Chr16_1034	12940
ilHelHell1.1_Chr16_1035	1487
ilHelHell1.1_Chr16_1036	9893
ilHelHell1.1_Chr16_1037	3585
ilHelHell1.1_Chr16_1038	2448
ilHelHell1.1_Chr16_1039	330
ilHelHell1.1_Chr16_104	17605
ilHelHell1.1_Chr16_1040	36733
ilHelHell1.1_Chr16_1041	2042
ilHelHell1.1_Chr16_1042	51115
ilHelHell1.1_Chr16_1043	9038
ilHelHell1.1_Chr16_1044	3828
ilHelHell1.1_Chr16_1045	753
ilHelHell1.1_Chr16_1046	14328
ilHelHell1.1_Chr16_1047	20430
ilHelHell1.1_Chr16_1048	14276
ilHelHell1.1_Chr16_1049	16483
ilHelHell1.1_Chr16_105	1902
ilHelHell1.1_Chr16_1050	3390
ilHelHell1.1_Chr16_1051	6340
ilHelHell1.1_Chr16_1052	26185
ilHelHell1.1_Chr16_1053	567
ilHelHell1.1_Chr16_1054	3379
ilHelHell1.1_Chr16_1055	1114
ilHelHell1.1_Chr16_1056	5695
ilHelHell1.1_Chr16_1057	471
ilHelHell1.1_Chr16_1058	1355
ilHelHell1.1_Chr16_1059	1371
ilHelHell1.1_Chr16_106	1554
ilHelHell1.1_Chr16_1060	638
ilHelHell1.1_Chr16_1061	1371
ilHelHell1.1_Chr16_1062	1373
ilHelHell1.1_Chr16_1063	1371
ilHelHell1.1_Chr16_1064	7719
ilHelHell1.1_Chr16_1065	471
ilHelHell1.1_Chr16_1066	498
ilHelHell1.1_Chr16_1067	279
ilHelHell1.1_Chr16_1068	1371
ilHelHell1.1_Chr16_1069	588
ilHelHell1.1_Chr16_107	632
ilHelHell1.1_Chr16_1070	4358
ilHelHell1.1_Chr16_1071	1375
ilHelHell1.1_Chr16_1072	543
ilHelHell1.1_Chr16_1073	783
ilHelHell1.1_Chr16_1074	4919
ilHelHell1.1_Chr16_1075	3739
ilHelHell1.1_Chr16_1076	4254
ilHelHell1.1_Chr16_1077	1518
ilHelHell1.1_Chr16_1078	2542
ilHelHell1.1_Chr16_1079	789
ilHelHell1.1_Chr16_108	5049
ilHelHell1.1_Chr16_1080	852
ilHelHell1.1_Chr16_1081	3587
ilHelHell1.1_Chr16_1082	1675
ilHelHell1.1_Chr16_1083	3046
ilHelHell1.1_Chr16_1084	591
ilHelHell1.1_Chr16_1085	6045
ilHelHell1.1_Chr16_1086	5257
ilHelHell1.1_Chr16_1087	29072
ilHelHell1.1_Chr16_1088	471
ilHelHell1.1_Chr16_1089	507
ilHelHell1.1_Chr16_109	6575
ilHelHell1.1_Chr16_1090	2921
ilHelHell1.1_Chr16_1091	1081
ilHelHell1.1_Chr16_1092	11686
ilHelHell1.1_Chr16_1093	13477
ilHelHell1.1_Chr16_1094	948
ilHelHell1.1_Chr16_1095	923
ilHelHell1.1_Chr16_1096	951
ilHelHell1.1_Chr16_1097	5181
ilHelHell1.1_Chr16_1098	1371
ilHelHell1.1_Chr16_1099	3189
ilHelHell1.1_Chr16_11	2712
ilHelHell1.1_Chr16_110	4860
ilHelHell1.1_Chr16_1100	5558
ilHelHell1.1_Chr16_1101	923
ilHelHell1.1_Chr16_1102	2839
ilHelHell1.1_Chr16_1103	2410
ilHelHell1.1_Chr16_1104	9977
ilHelHell1.1_Chr16_1105	4379
ilHelHell1.1_Chr16_1106	2362
ilHelHell1.1_Chr16_1107	4381
ilHelHell1.1_Chr16_1108	4541
ilHelHell1.1_Chr16_1109	4480
ilHelHell1.1_Chr16_111	4331
ilHelHell1.1_Chr16_1110	21677
ilHelHell1.1_Chr16_1111	1371
ilHelHell1.1_Chr16_1112	6028
ilHelHell1.1_Chr16_1113	5248
ilHelHell1.1_Chr16_1114	6075
ilHelHell1.1_Chr16_1115	1498
ilHelHell1.1_Chr16_1116	24392
ilHelHell1.1_Chr16_1117	2191
ilHelHell1.1_Chr16_1118	4934
ilHelHell1.1_Chr16_1119	1442
ilHelHell1.1_Chr16_112	4875
ilHelHell1.1_Chr16_1120	1534
ilHelHell1.1_Chr16_1121	4349
