Name	Size(bp)
intron_added-1	256
intron_added-2	1084
intron_added-3	1580
intron_added-4	503
intron_added-5	867
intron_added-6	6023
intron_added-7	3546
intron_added-8	5837
intron_added-9	15640
intron_added-10	55
intron_added-11	4465
intron_added-12	2574
intron_added-13	5684
intron_added-14	353
intron_added-15	327
intron_added-16	1974
intron_added-17	6933
intron_added-18	16318
intron_added-19	6974
intron_added-20	1339
intron_added-21	9565
intron_added-22	7474
intron_added-23	406
intron_added-24	2229
intron_added-25	616
intron_added-26	377
intron_added-27	848
intron_added-28	1192
intron_added-29	314
intron_added-30	541
intron_added-31	976
intron_added-32	650
intron_added-33	338
intron_added-34	298
intron_added-35	1081
intron_added-36	297
intron_added-37	165
intron_added-38	514
intron_added-39	941
intron_added-40	764
intron_added-41	2578
intron_added-42	1133
intron_added-43	2424
intron_added-44	89
intron_added-45	304
intron_added-46	410
intron_added-47	257
intron_added-48	676
intron_added-49	1395
intron_added-50	563
intron_added-51	2610
intron_added-52	5271
intron_added-53	8568
intron_added-54	3517
intron_added-55	4558
intron_added-56	22317
intron_added-57	12463
intron_added-58	2619
intron_added-59	3553
intron_added-60	4504
intron_added-61	5013
intron_added-62	1972
intron_added-63	5674
intron_added-64	3896
intron_added-65	4143
intron_added-66	13139
intron_added-67	8658
intron_added-68	480
intron_added-69	19583
intron_added-70	121
intron_added-71	96
intron_added-72	11266
intron_added-73	594
intron_added-74	99
intron_added-75	1137
intron_added-76	556
intron_added-77	625
intron_added-78	406
intron_added-79	10962
intron_added-80	1623
intron_added-81	2988
intron_added-82	14593
intron_added-83	21638
intron_added-84	5883
intron_added-85	22682
intron_added-86	3817
intron_added-87	88
intron_added-88	17287
intron_added-89	6489
intron_added-90	6071
intron_added-91	3706
intron_added-92	3907
intron_added-93	1714
intron_added-94	1091
intron_added-95	624
intron_added-96	175
intron_added-97	1712
intron_added-98	744
intron_added-99	630
intron_added-100	11827
intron_added-101	4512
intron_added-102	16594
intron_added-103	182
intron_added-104	985
intron_added-105	1600
intron_added-106	368
intron_added-107	5315
intron_added-108	3505
intron_added-109	5832
intron_added-110	448
intron_added-111	5414
intron_added-112	4953
intron_added-113	905
intron_added-114	633
intron_added-115	849
intron_added-116	1642
intron_added-117	319
intron_added-118	569
intron_added-119	1065
intron_added-120	854
intron_added-121	548
intron_added-122	322
intron_added-123	779
intron_added-124	89
intron_added-125	459
intron_added-126	739
intron_added-127	1681
intron_added-128	17540
intron_added-129	121
intron_added-130	963
intron_added-131	425
intron_added-132	812
intron_added-133	918
intron_added-134	404
intron_added-135	411
intron_added-136	1396
intron_added-137	416
intron_added-138	4059
intron_added-139	311
intron_added-140	544
intron_added-141	610
intron_added-142	764
intron_added-143	752
intron_added-144	5388
intron_added-145	3207
intron_added-146	215
intron_added-147	253
intron_added-148	1184
intron_added-149	1089
intron_added-150	538
intron_added-151	547
intron_added-152	1074
intron_added-153	1378
intron_added-154	1098
intron_added-155	2867
intron_added-156	680
intron_added-157	7694
intron_added-158	107
intron_added-159	387
intron_added-160	1066
intron_added-161	2235
intron_added-162	1442
intron_added-163	820
intron_added-164	2246
intron_added-165	520
intron_added-166	1613
intron_added-167	664
intron_added-168	2044
intron_added-169	5564
intron_added-170	2431
intron_added-171	7169
intron_added-172	4488
intron_added-173	6565
intron_added-174	1019
intron_added-175	9350
intron_added-176	3357
intron_added-177	2164
intron_added-178	65
intron_added-179	187
intron_added-180	301
intron_added-181	128
intron_added-182	148
intron_added-183	4956
intron_added-184	519
intron_added-185	657
intron_added-186	586
intron_added-187	270
intron_added-188	373
intron_added-189	1837
intron_added-190	1682
intron_added-191	167
intron_added-192	2935
intron_added-193	360
intron_added-194	481
intron_added-195	14479
intron_added-196	21185
intron_added-197	488
intron_added-198	5851
intron_added-199	16097
intron_added-200	7848
intron_added-201	6286
intron_added-202	1316
intron_added-203	4269
intron_added-204	4079
intron_added-205	3749
intron_added-206	200
intron_added-207	7011
intron_added-208	1170
intron_added-209	1757
intron_added-210	4869
intron_added-211	3207
intron_added-212	1339
intron_added-213	14727
intron_added-214	334
intron_added-215	1454
intron_added-216	1331
intron_added-217	256
intron_added-218	417
intron_added-219	6608
intron_added-220	3777
intron_added-221	1405
intron_added-222	851
intron_added-223	780
intron_added-224	3204
intron_added-225	532
intron_added-226	1214
intron_added-227	753
intron_added-228	583
intron_added-229	5272
intron_added-230	397
intron_added-231	994
intron_added-232	415
intron_added-233	858
intron_added-234	629
intron_added-235	237
intron_added-236	2337
intron_added-237	1424
intron_added-238	715
intron_added-239	306
intron_added-240	605
intron_added-241	530
intron_added-242	981
intron_added-243	14999
intron_added-244	1870
intron_added-245	1303
intron_added-246	48
intron_added-247	876
intron_added-248	1812
intron_added-249	1916
intron_added-250	2332
intron_added-251	273
intron_added-252	1231
intron_added-253	400
intron_added-254	2792
intron_added-255	1622
intron_added-256	479
intron_added-257	1365
intron_added-258	224
intron_added-259	242
intron_added-260	4815
intron_added-261	1623
intron_added-262	395
intron_added-263	1922
intron_added-264	268
intron_added-265	413
intron_added-266	190
intron_added-267	574
intron_added-268	709
intron_added-269	1385
intron_added-270	627
intron_added-271	671
intron_added-272	291
intron_added-273	547
intron_added-274	81
intron_added-275	4353
intron_added-276	203
intron_added-277	673
intron_added-278	89
intron_added-279	676
intron_added-280	127
intron_added-281	1648
intron_added-282	935
intron_added-283	4852
intron_added-284	2482
intron_added-285	1411
intron_added-286	7239
intron_added-287	1473
intron_added-288	7113
intron_added-289	4851
intron_added-290	2934
intron_added-291	156
intron_added-292	291
intron_added-293	2258
intron_added-294	488
intron_added-295	609
intron_added-296	1125
intron_added-297	574
intron_added-298	1725
intron_added-299	5979
intron_added-300	1030
intron_added-301	87
intron_added-302	5258
intron_added-303	456
intron_added-304	1757
intron_added-305	122
intron_added-306	48
intron_added-307	332
intron_added-308	20
intron_added-309	317
intron_added-310	72
intron_added-311	298
intron_added-312	3272
intron_added-313	2448
intron_added-314	395
intron_added-315	1860
intron_added-316	2107
intron_added-317	4568
intron_added-318	317
intron_added-319	337
intron_added-320	258
intron_added-321	256
intron_added-322	24
intron_added-323	18
intron_added-324	5015
intron_added-325	657
intron_added-326	21
intron_added-327	2210
intron_added-328	257
intron_added-329	836
intron_added-330	1060
intron_added-331	280
intron_added-332	471
intron_added-333	947
intron_added-334	438
intron_added-335	81
intron_added-336	146
intron_added-337	670
intron_added-338	248
intron_added-339	640
intron_added-340	543
intron_added-341	656
intron_added-342	535
intron_added-343	764
intron_added-344	188
intron_added-345	599
intron_added-346	235
intron_added-347	392
intron_added-348	1025
intron_added-349	18615
intron_added-350	2738
intron_added-351	535
intron_added-352	4620
intron_added-353	74
intron_added-354	1729
intron_added-355	450
intron_added-356	988
intron_added-357	588
intron_added-358	797
intron_added-359	682
intron_added-360	428
intron_added-361	213
intron_added-362	315
intron_added-363	143
intron_added-364	577
intron_added-365	344
intron_added-366	757
intron_added-367	144
intron_added-368	247
intron_added-369	352
intron_added-370	435
intron_added-371	234
intron_added-372	242
intron_added-373	2633
intron_added-374	676
intron_added-375	3139
intron_added-376	329
intron_added-377	479
intron_added-378	1110
intron_added-379	552
intron_added-380	807
intron_added-381	992
intron_added-382	875
intron_added-383	321
intron_added-384	371
intron_added-385	1577
intron_added-386	296
intron_added-387	349
intron_added-388	309
intron_added-389	2029
intron_added-390	670
intron_added-391	544
intron_added-392	1748
intron_added-393	991
intron_added-394	630
intron_added-395	498
intron_added-396	2598
intron_added-397	582
intron_added-398	710
intron_added-399	353
intron_added-400	4647
intron_added-401	237
intron_added-402	100
intron_added-403	147
intron_added-404	114
intron_added-405	1438
intron_added-406	671
intron_added-407	351
intron_added-408	413
intron_added-409	788
intron_added-410	1073
intron_added-411	310
intron_added-412	654
intron_added-413	16138
intron_added-414	2390
intron_added-415	2693
intron_added-416	670
intron_added-417	13711
intron_added-418	1643
intron_added-419	7093
intron_added-420	5318
intron_added-421	2347
intron_added-422	11665
intron_added-423	269
intron_added-424	4828
intron_added-425	10256
intron_added-426	1128
intron_added-427	784
intron_added-428	592
intron_added-429	1495
intron_added-430	815
intron_added-431	884
intron_added-432	906
intron_added-433	992
intron_added-434	1430
intron_added-435	885
intron_added-436	365
intron_added-437	348
intron_added-438	2034
intron_added-439	1071
intron_added-440	597
intron_added-441	1120
intron_added-442	3734
intron_added-443	2303
intron_added-444	5350
intron_added-445	314
intron_added-446	380
intron_added-447	125
intron_added-448	2223
intron_added-449	15660
intron_added-450	4808
intron_added-451	8648
intron_added-452	20732
intron_added-453	936
intron_added-454	1294
intron_added-455	9528
intron_added-456	83
intron_added-457	1271
intron_added-458	2803
intron_added-459	452
intron_added-460	2299
intron_added-461	951
intron_added-462	999
intron_added-463	1713
intron_added-464	14986
intron_added-465	21301
intron_added-466	1607
intron_added-467	417
intron_added-468	658
intron_added-469	5867
intron_added-470	9486
intron_added-471	3432
intron_added-472	6883
intron_added-473	18769
intron_added-474	3804
intron_added-475	102
intron_added-476	2610
intron_added-477	1992
intron_added-478	15357
intron_added-479	3360
intron_added-480	796
intron_added-481	212
intron_added-482	968
intron_added-483	1114
intron_added-484	514
intron_added-485	1306
intron_added-486	664
intron_added-487	915
intron_added-488	857
intron_added-489	616
intron_added-490	1554
intron_added-491	1401
intron_added-492	3054
intron_added-493	148
intron_added-494	168
intron_added-495	955
intron_added-496	499
intron_added-497	110
intron_added-498	5350
intron_added-499	437
intron_added-500	785
intron_added-501	513
intron_added-502	568
intron_added-503	685
intron_added-504	915
intron_added-505	917
intron_added-506	285
intron_added-507	997
intron_added-508	2288
intron_added-509	249
intron_added-510	10263
intron_added-511	9514
intron_added-512	992
intron_added-513	919
intron_added-514	1012
intron_added-515	907
intron_added-516	70
intron_added-517	2370
intron_added-518	3602
intron_added-519	799
intron_added-520	835
intron_added-521	221
intron_added-522	1971
intron_added-523	114
intron_added-524	901
intron_added-525	523
intron_added-526	1333
intron_added-527	172
intron_added-528	1259
intron_added-529	1014
intron_added-530	242
intron_added-531	252
intron_added-532	3632
intron_added-533	287
intron_added-534	264
intron_added-535	250
intron_added-536	945
intron_added-537	165
intron_added-538	749
intron_added-539	3523
intron_added-540	11499
intron_added-541	1719
intron_added-542	12334
intron_added-543	177
intron_added-544	467
intron_added-545	717
intron_added-546	426
intron_added-547	1170
intron_added-548	248
intron_added-549	2231
intron_added-550	3060
intron_added-551	1486
intron_added-552	569
intron_added-553	249
intron_added-554	384
intron_added-555	362
intron_added-556	283
intron_added-557	959
intron_added-558	512
intron_added-559	1177
intron_added-560	1200
intron_added-561	423
intron_added-562	782
intron_added-563	1352
intron_added-564	842
intron_added-565	1871
intron_added-566	6222
intron_added-567	2985
intron_added-568	1815
intron_added-569	84
intron_added-570	346
intron_added-571	440
intron_added-572	376
intron_added-573	608
intron_added-574	858
intron_added-575	2514
intron_added-576	719
intron_added-577	3617
intron_added-578	9263
intron_added-579	16487
intron_added-580	3739
intron_added-581	5782
intron_added-582	2128
intron_added-583	1081
intron_added-584	369
intron_added-585	2559
intron_added-586	304
intron_added-587	9372
intron_added-588	9700
intron_added-589	10023
intron_added-590	14264
intron_added-591	4433
intron_added-592	3010
intron_added-593	10522
intron_added-594	71
intron_added-595	10906
intron_added-596	16588
intron_added-597	21163
intron_added-598	17256
intron_added-599	358
intron_added-600	9312
intron_added-601	1345
intron_added-602	409
intron_added-603	392
intron_added-604	576
intron_added-605	633
intron_added-606	973
intron_added-607	102
intron_added-608	145
intron_added-609	165
intron_added-610	81
intron_added-611	9371
intron_added-612	2029
intron_added-613	2580
intron_added-614	353
intron_added-615	966
intron_added-616	1253
intron_added-617	376
intron_added-618	688
intron_added-619	1078
intron_added-620	120
