Name	Size(bp)
cds_ilHelHell1.1_Chr16_1	4923
cds_ilHelHell1.1_Chr16_10	1377
cds_ilHelHell1.1_Chr16_100	708
cds_ilHelHell1.1_Chr16_1000	72
cds_ilHelHell1.1_Chr16_1001	1215
cds_ilHelHell1.1_Chr16_1002	1284
cds_ilHelHell1.1_Chr16_1003	1917
cds_ilHelHell1.1_Chr16_1004	3117
cds_ilHelHell1.1_Chr16_1005	255
cds_ilHelHell1.1_Chr16_1006	603
cds_ilHelHell1.1_Chr16_1007	519
cds_ilHelHell1.1_Chr16_1008	2733
cds_ilHelHell1.1_Chr16_1009	1098
cds_ilHelHell1.1_Chr16_101	1596
cds_ilHelHell1.1_Chr16_1010	1062
cds_ilHelHell1.1_Chr16_1011	1653
cds_ilHelHell1.1_Chr16_1012	618
cds_ilHelHell1.1_Chr16_1013	1095
cds_ilHelHell1.1_Chr16_1014	1056
cds_ilHelHell1.1_Chr16_1015	1143
cds_ilHelHell1.1_Chr16_1016	1341
cds_ilHelHell1.1_Chr16_1017	432
cds_ilHelHell1.1_Chr16_1018	1053
cds_ilHelHell1.1_Chr16_1019	174
cds_ilHelHell1.1_Chr16_102	1314
cds_ilHelHell1.1_Chr16_1020	666
cds_ilHelHell1.1_Chr16_1021	816
cds_ilHelHell1.1_Chr16_1022	1884
cds_ilHelHell1.1_Chr16_1023	657
cds_ilHelHell1.1_Chr16_1024	2433
cds_ilHelHell1.1_Chr16_1025	2529
cds_ilHelHell1.1_Chr16_1026	495
cds_ilHelHell1.1_Chr16_1027	1872
cds_ilHelHell1.1_Chr16_1028	636
cds_ilHelHell1.1_Chr16_1029	717
cds_ilHelHell1.1_Chr16_103	465
cds_ilHelHell1.1_Chr16_1030	3843
cds_ilHelHell1.1_Chr16_1031	822
cds_ilHelHell1.1_Chr16_1032	1239
cds_ilHelHell1.1_Chr16_1033	687
cds_ilHelHell1.1_Chr16_1034	4947
cds_ilHelHell1.1_Chr16_1035	225
cds_ilHelHell1.1_Chr16_1036	1692
cds_ilHelHell1.1_Chr16_1037	516
cds_ilHelHell1.1_Chr16_1038	822
cds_ilHelHell1.1_Chr16_1039	879
cds_ilHelHell1.1_Chr16_104	2706
cds_ilHelHell1.1_Chr16_1040	4944
cds_ilHelHell1.1_Chr16_1041	1431
cds_ilHelHell1.1_Chr16_1042	1122
cds_ilHelHell1.1_Chr16_1043	2007
cds_ilHelHell1.1_Chr16_1044	1821
cds_ilHelHell1.1_Chr16_1045	816
cds_ilHelHell1.1_Chr16_1046	645
cds_ilHelHell1.1_Chr16_1047	2598
cds_ilHelHell1.1_Chr16_1048	639
cds_ilHelHell1.1_Chr16_1049	1887
cds_ilHelHell1.1_Chr16_105	1902
cds_ilHelHell1.1_Chr16_1050	468
cds_ilHelHell1.1_Chr16_1051	543
cds_ilHelHell1.1_Chr16_1052	228
cds_ilHelHell1.1_Chr16_1053	219
cds_ilHelHell1.1_Chr16_1054	330
cds_ilHelHell1.1_Chr16_1055	588
cds_ilHelHell1.1_Chr16_1056	1554
cds_ilHelHell1.1_Chr16_1057	1620
cds_ilHelHell1.1_Chr16_1058	1827
cds_ilHelHell1.1_Chr16_1059	2658
cds_ilHelHell1.1_Chr16_106	189
cds_ilHelHell1.1_Chr16_1060	753
cds_ilHelHell1.1_Chr16_1061	3156
cds_ilHelHell1.1_Chr16_1062	621
cds_ilHelHell1.1_Chr16_1063	1827
cds_ilHelHell1.1_Chr16_1064	855
cds_ilHelHell1.1_Chr16_1065	1632
cds_ilHelHell1.1_Chr16_1066	816
cds_ilHelHell1.1_Chr16_1067	1779
cds_ilHelHell1.1_Chr16_1068	1029
cds_ilHelHell1.1_Chr16_1069	567
cds_ilHelHell1.1_Chr16_107	237
cds_ilHelHell1.1_Chr16_1070	1875
cds_ilHelHell1.1_Chr16_1071	714
cds_ilHelHell1.1_Chr16_1072	1281
cds_ilHelHell1.1_Chr16_1073	471
cds_ilHelHell1.1_Chr16_1074	876
cds_ilHelHell1.1_Chr16_1075	1371
cds_ilHelHell1.1_Chr16_1076	414
cds_ilHelHell1.1_Chr16_1077	1371
cds_ilHelHell1.1_Chr16_1078	1131
cds_ilHelHell1.1_Chr16_1079	1371
cds_ilHelHell1.1_Chr16_108	696
cds_ilHelHell1.1_Chr16_1080	1281
cds_ilHelHell1.1_Chr16_1081	471
cds_ilHelHell1.1_Chr16_1082	498
cds_ilHelHell1.1_Chr16_1083	279
cds_ilHelHell1.1_Chr16_1084	1371
cds_ilHelHell1.1_Chr16_1085	588
cds_ilHelHell1.1_Chr16_1086	1755
cds_ilHelHell1.1_Chr16_1087	1185
cds_ilHelHell1.1_Chr16_1088	543
cds_ilHelHell1.1_Chr16_1089	783
cds_ilHelHell1.1_Chr16_109	936
cds_ilHelHell1.1_Chr16_1090	3636
cds_ilHelHell1.1_Chr16_1091	1056
cds_ilHelHell1.1_Chr16_1092	3963
cds_ilHelHell1.1_Chr16_1093	1518
cds_ilHelHell1.1_Chr16_1094	1995
cds_ilHelHell1.1_Chr16_1095	708
cds_ilHelHell1.1_Chr16_1096	852
cds_ilHelHell1.1_Chr16_1097	2622
cds_ilHelHell1.1_Chr16_1098	999
cds_ilHelHell1.1_Chr16_1099	2919
cds_ilHelHell1.1_Chr16_11	2712
cds_ilHelHell1.1_Chr16_110	498
cds_ilHelHell1.1_Chr16_1100	591
cds_ilHelHell1.1_Chr16_1101	3462
cds_ilHelHell1.1_Chr16_1102	405
cds_ilHelHell1.1_Chr16_1103	4503
