comparison,ref,query,variable,value
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,query_mrnas,140
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,query_mrnas,145
geneid_S_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,query_mrnas,143
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,query_mrnas,143
geneid_RS_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,query_mrnas,80
geneid_S_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,query_mrnas,80
geneid_S_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,query_mrnas,145
geneid_S_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,query_mrnas,137
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,query_mrnas,137
geneid_RS_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,query_mrnas,140
geneid_RS_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,query_mrnas,145
geneid_R_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,query_mrnas,80
geneid_R_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,query_mrnas,140
geneid_R_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,query_mrnas,143
geneid_simple_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,query_mrnas,80
geneid_R_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,query_mrnas,137
geneid_simple_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,query_mrnas,143
geneid_RS_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,query_mrnas,137
geneid_simple_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,query_mrnas,145
geneid_simple_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,query_mrnas,140
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,reference_mrnas,80
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,reference_mrnas,80
geneid_S_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,reference_mrnas,140
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,reference_mrnas,80
geneid_RS_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,reference_mrnas,143
geneid_S_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,reference_mrnas,140
geneid_S_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,reference_mrnas,140
geneid_S_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,reference_mrnas,140
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,reference_mrnas,80
geneid_RS_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,reference_mrnas,143
geneid_RS_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,reference_mrnas,143
geneid_R_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,reference_mrnas,145
geneid_R_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,reference_mrnas,145
geneid_R_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,reference_mrnas,145
geneid_simple_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,reference_mrnas,137
geneid_R_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,reference_mrnas,145
geneid_simple_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,reference_mrnas,137
geneid_RS_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,reference_mrnas,143
geneid_simple_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,reference_mrnas,137
geneid_simple_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,reference_mrnas,137
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,base_level_Se,39.1
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,base_level_Se,39.8
geneid_S_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,base_level_Se,97.3
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,base_level_Se,41.4
geneid_RS_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,base_level_Se,19.8
geneid_S_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,base_level_Se,18.8
geneid_S_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,base_level_Se,90.7
geneid_S_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,base_level_Se,89.0
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,base_level_Se,39.0
geneid_RS_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,base_level_Se,96.6
geneid_RS_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,base_level_Se,89.5
geneid_R_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,base_level_Se,18.8
geneid_R_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,base_level_Se,89.0
geneid_R_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,base_level_Se,88.4
geneid_simple_longest_isoform_from500_to1000_VS_CNAC_ref_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,base_level_Se,19.1
geneid_R_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,base_level_Se,95.3
geneid_simple_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,base_level_Se,90.2
geneid_RS_longest_isoform_from500_to1000_VS_geneid_simple_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,base_level_Se,87.8
geneid_simple_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,base_level_Se,99.2
geneid_simple_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,geneid_simple_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,base_level_Se,90.8
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_S_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,base_level_Pr,18.8
CNAC_ref_longest_isoform_from500_to1000_VS_geneid_R_longest_isoform_from500_to1000,CNAC_ref_longest_isoform_from500_to1000,geneid_R_longest_isoform_from500_to1000,base_level_Pr,18.8
geneid_S_longest_isoform_from500_to1000_VS_geneid_RS_longest_isoform_from500_to1000,geneid_S_longest_isoform_from500_to1000,geneid_RS_longest_isoform_from500_to1000,base_level_Pr,96.6
