Name	Size(bp)
exon_ilHelHell1.1_Chr16_1.1	1281
exon_ilHelHell1.1_Chr16_1.2	3642
exon_ilHelHell1.1_Chr16_10.1	1377
exon_ilHelHell1.1_Chr16_100.1	240
exon_ilHelHell1.1_Chr16_100.2	156
exon_ilHelHell1.1_Chr16_100.3	168
exon_ilHelHell1.1_Chr16_100.4	144
exon_ilHelHell1.1_Chr16_1000.3	679
exon_ilHelHell1.1_Chr16_1000.2	295
exon_ilHelHell1.1_Chr16_1000.1	169
exon_ilHelHell1.1_Chr16_1001.1	19
exon_ilHelHell1.1_Chr16_1001.2	47
exon_ilHelHell1.1_Chr16_1001.3	41
exon_ilHelHell1.1_Chr16_1001.4	536
exon_ilHelHell1.1_Chr16_1001.5	425
exon_ilHelHell1.1_Chr16_1001.6	27
exon_ilHelHell1.1_Chr16_1001.7	53
exon_ilHelHell1.1_Chr16_1001.8	193
exon_ilHelHell1.1_Chr16_1002.1	432
exon_ilHelHell1.1_Chr16_1003.1	1053
exon_ilHelHell1.1_Chr16_1004.1	22
exon_ilHelHell1.1_Chr16_1004.2	152
exon_ilHelHell1.1_Chr16_1005.7	322
exon_ilHelHell1.1_Chr16_1005.6	99
exon_ilHelHell1.1_Chr16_1005.5	28
exon_ilHelHell1.1_Chr16_1005.4	25
exon_ilHelHell1.1_Chr16_1005.3	35
exon_ilHelHell1.1_Chr16_1005.2	21
exon_ilHelHell1.1_Chr16_1005.1	136
exon_ilHelHell1.1_Chr16_1006.1	150
exon_ilHelHell1.1_Chr16_1006.2	143
exon_ilHelHell1.1_Chr16_1006.3	94
exon_ilHelHell1.1_Chr16_1006.4	155
exon_ilHelHell1.1_Chr16_1006.5	274
exon_ilHelHell1.1_Chr16_1007.12	75
exon_ilHelHell1.1_Chr16_1007.11	254
exon_ilHelHell1.1_Chr16_1007.10	172
exon_ilHelHell1.1_Chr16_1007.9	111
exon_ilHelHell1.1_Chr16_1007.8	138
exon_ilHelHell1.1_Chr16_1007.7	156
exon_ilHelHell1.1_Chr16_1007.6	124
exon_ilHelHell1.1_Chr16_1007.5	139
exon_ilHelHell1.1_Chr16_1007.4	141
exon_ilHelHell1.1_Chr16_1007.3	209
exon_ilHelHell1.1_Chr16_1007.2	158
exon_ilHelHell1.1_Chr16_1007.1	207
exon_ilHelHell1.1_Chr16_1008.1	55
exon_ilHelHell1.1_Chr16_1008.2	602
exon_ilHelHell1.1_Chr16_1009.1	442
exon_ilHelHell1.1_Chr16_1009.2	1991
exon_ilHelHell1.1_Chr16_101.8	211
exon_ilHelHell1.1_Chr16_101.7	155
exon_ilHelHell1.1_Chr16_101.6	131
exon_ilHelHell1.1_Chr16_101.5	589
exon_ilHelHell1.1_Chr16_101.4	91
exon_ilHelHell1.1_Chr16_101.3	252
exon_ilHelHell1.1_Chr16_101.2	140
exon_ilHelHell1.1_Chr16_101.1	27
exon_ilHelHell1.1_Chr16_1010.5	306
exon_ilHelHell1.1_Chr16_1010.4	46
exon_ilHelHell1.1_Chr16_1010.3	1900
exon_ilHelHell1.1_Chr16_1010.2	238
exon_ilHelHell1.1_Chr16_1010.1	15
exon_ilHelHell1.1_Chr16_1011.16	106
exon_ilHelHell1.1_Chr16_1011.15	95
exon_ilHelHell1.1_Chr16_1011.14	90
exon_ilHelHell1.1_Chr16_1011.13	198
exon_ilHelHell1.1_Chr16_1011.12	131
exon_ilHelHell1.1_Chr16_1011.11	285
exon_ilHelHell1.1_Chr16_1011.10	163
exon_ilHelHell1.1_Chr16_1011.9	35
exon_ilHelHell1.1_Chr16_1011.8	35
exon_ilHelHell1.1_Chr16_1011.7	32
exon_ilHelHell1.1_Chr16_1011.6	123
exon_ilHelHell1.1_Chr16_1011.5	130
exon_ilHelHell1.1_Chr16_1011.4	145
exon_ilHelHell1.1_Chr16_1011.3	142
exon_ilHelHell1.1_Chr16_1011.2	151
