Name	Size(bp)
cds_ilHelHell1.1_Chr16_1	4923
cds_ilHelHell1.1_Chr16_10	1377
cds_ilHelHell1.1_Chr16_100	510
cds_ilHelHell1.1_Chr16_1000	1836
cds_ilHelHell1.1_Chr16_1001	4314
cds_ilHelHell1.1_Chr16_1002	192
cds_ilHelHell1.1_Chr16_1003	5463
cds_ilHelHell1.1_Chr16_1004	387
cds_ilHelHell1.1_Chr16_1005	2793
cds_ilHelHell1.1_Chr16_1006	606
cds_ilHelHell1.1_Chr16_1007	816
cds_ilHelHell1.1_Chr16_1008	2232
cds_ilHelHell1.1_Chr16_1009	729
cds_ilHelHell1.1_Chr16_101	297
cds_ilHelHell1.1_Chr16_1010	564
cds_ilHelHell1.1_Chr16_1011	4542
cds_ilHelHell1.1_Chr16_1012	747
cds_ilHelHell1.1_Chr16_1013	5355
cds_ilHelHell1.1_Chr16_1014	2382
cds_ilHelHell1.1_Chr16_1015	1467
cds_ilHelHell1.1_Chr16_1016	261
cds_ilHelHell1.1_Chr16_1017	945
cds_ilHelHell1.1_Chr16_1018	156
cds_ilHelHell1.1_Chr16_1019	1734
cds_ilHelHell1.1_Chr16_102	708
cds_ilHelHell1.1_Chr16_1020	2349
cds_ilHelHell1.1_Chr16_1021	627
cds_ilHelHell1.1_Chr16_1022	342
cds_ilHelHell1.1_Chr16_1023	1227
cds_ilHelHell1.1_Chr16_1024	174
cds_ilHelHell1.1_Chr16_1025	789
cds_ilHelHell1.1_Chr16_1026	1470
cds_ilHelHell1.1_Chr16_1027	1482
cds_ilHelHell1.1_Chr16_1028	342
cds_ilHelHell1.1_Chr16_1029	375
cds_ilHelHell1.1_Chr16_103	1596
cds_ilHelHell1.1_Chr16_1030	690
cds_ilHelHell1.1_Chr16_1031	474
cds_ilHelHell1.1_Chr16_1032	2421
cds_ilHelHell1.1_Chr16_1033	6375
cds_ilHelHell1.1_Chr16_1034	1545
cds_ilHelHell1.1_Chr16_1035	1935
cds_ilHelHell1.1_Chr16_1036	801
cds_ilHelHell1.1_Chr16_1037	990
cds_ilHelHell1.1_Chr16_1038	594
cds_ilHelHell1.1_Chr16_1039	1206
cds_ilHelHell1.1_Chr16_104	1314
cds_ilHelHell1.1_Chr16_1040	849
cds_ilHelHell1.1_Chr16_1041	474
cds_ilHelHell1.1_Chr16_1042	2379
cds_ilHelHell1.1_Chr16_1043	2895
cds_ilHelHell1.1_Chr16_1044	1137
cds_ilHelHell1.1_Chr16_1045	5040
cds_ilHelHell1.1_Chr16_1046	2643
cds_ilHelHell1.1_Chr16_1047	3345
cds_ilHelHell1.1_Chr16_1048	759
cds_ilHelHell1.1_Chr16_1049	1191
cds_ilHelHell1.1_Chr16_105	465
cds_ilHelHell1.1_Chr16_1050	381
cds_ilHelHell1.1_Chr16_1051	1686
cds_ilHelHell1.1_Chr16_1052	4812
cds_ilHelHell1.1_Chr16_1053	2127
cds_ilHelHell1.1_Chr16_1054	2043
cds_ilHelHell1.1_Chr16_1055	546
cds_ilHelHell1.1_Chr16_1056	1119
cds_ilHelHell1.1_Chr16_1057	669
cds_ilHelHell1.1_Chr16_1058	387
cds_ilHelHell1.1_Chr16_1059	1497
cds_ilHelHell1.1_Chr16_106	2388
cds_ilHelHell1.1_Chr16_1060	1026
cds_ilHelHell1.1_Chr16_1061	3477
cds_ilHelHell1.1_Chr16_1062	1005
cds_ilHelHell1.1_Chr16_1063	72
cds_ilHelHell1.1_Chr16_1064	1215
cds_ilHelHell1.1_Chr16_1065	1284
cds_ilHelHell1.1_Chr16_1066	1917
cds_ilHelHell1.1_Chr16_1067	3117
cds_ilHelHell1.1_Chr16_1068	255
cds_ilHelHell1.1_Chr16_1069	603
cds_ilHelHell1.1_Chr16_107	1902
cds_ilHelHell1.1_Chr16_1070	519
cds_ilHelHell1.1_Chr16_1071	2733
cds_ilHelHell1.1_Chr16_1072	1098
cds_ilHelHell1.1_Chr16_1073	1062
cds_ilHelHell1.1_Chr16_1074	1653
cds_ilHelHell1.1_Chr16_1075	618
cds_ilHelHell1.1_Chr16_1076	1095
cds_ilHelHell1.1_Chr16_1077	1056
cds_ilHelHell1.1_Chr16_1078	1005
cds_ilHelHell1.1_Chr16_1079	324
cds_ilHelHell1.1_Chr16_108	189
cds_ilHelHell1.1_Chr16_1080	1215
cds_ilHelHell1.1_Chr16_1081	432
cds_ilHelHell1.1_Chr16_1082	126
cds_ilHelHell1.1_Chr16_1083	1053
cds_ilHelHell1.1_Chr16_1084	174
cds_ilHelHell1.1_Chr16_1085	222
cds_ilHelHell1.1_Chr16_1086	714
cds_ilHelHell1.1_Chr16_1087	720
cds_ilHelHell1.1_Chr16_1088	1278
cds_ilHelHell1.1_Chr16_1089	465
cds_ilHelHell1.1_Chr16_109	237
cds_ilHelHell1.1_Chr16_1090	2433
cds_ilHelHell1.1_Chr16_1091	2529
cds_ilHelHell1.1_Chr16_1092	672
cds_ilHelHell1.1_Chr16_1093	1872
cds_ilHelHell1.1_Chr16_1094	636
cds_ilHelHell1.1_Chr16_1095	717
cds_ilHelHell1.1_Chr16_1096	1098
cds_ilHelHell1.1_Chr16_1097	2772
cds_ilHelHell1.1_Chr16_1098	99
cds_ilHelHell1.1_Chr16_1099	1242
cds_ilHelHell1.1_Chr16_11	2712
cds_ilHelHell1.1_Chr16_110	1128
cds_ilHelHell1.1_Chr16_1100	4947
cds_ilHelHell1.1_Chr16_1101	225
cds_ilHelHell1.1_Chr16_1102	1692
