Name	Size(bp)
exon_ilHelHell1.1_Chr16_1.1	1281
exon_ilHelHell1.1_Chr16_1.2	3642
exon_ilHelHell1.1_Chr16_10.1	1377
exon_ilHelHell1.1_Chr16_100.1	240
exon_ilHelHell1.1_Chr16_100.2	156
exon_ilHelHell1.1_Chr16_100.3	168
exon_ilHelHell1.1_Chr16_100.4	144
exon_ilHelHell1.1_Chr16_1000.1	19
exon_ilHelHell1.1_Chr16_1000.2	53
exon_ilHelHell1.1_Chr16_1001.1	131
exon_ilHelHell1.1_Chr16_1001.2	166
exon_ilHelHell1.1_Chr16_1001.3	918
exon_ilHelHell1.1_Chr16_1002.4	5
exon_ilHelHell1.1_Chr16_1002.3	75
exon_ilHelHell1.1_Chr16_1002.2	120
exon_ilHelHell1.1_Chr16_1002.1	1084
exon_ilHelHell1.1_Chr16_1003.1	1917
exon_ilHelHell1.1_Chr16_1004.1	116
exon_ilHelHell1.1_Chr16_1004.2	28
exon_ilHelHell1.1_Chr16_1004.3	194
exon_ilHelHell1.1_Chr16_1004.4	223
exon_ilHelHell1.1_Chr16_1004.5	31
exon_ilHelHell1.1_Chr16_1004.6	78
exon_ilHelHell1.1_Chr16_1004.7	35
exon_ilHelHell1.1_Chr16_1004.8	470
exon_ilHelHell1.1_Chr16_1004.9	972
exon_ilHelHell1.1_Chr16_1004.10	492
exon_ilHelHell1.1_Chr16_1004.11	345
exon_ilHelHell1.1_Chr16_1004.12	34
exon_ilHelHell1.1_Chr16_1004.13	30
exon_ilHelHell1.1_Chr16_1004.14	69
exon_ilHelHell1.1_Chr16_1005.4	20
exon_ilHelHell1.1_Chr16_1005.3	32
exon_ilHelHell1.1_Chr16_1005.2	82
exon_ilHelHell1.1_Chr16_1005.1	121
exon_ilHelHell1.1_Chr16_1006.6	37
exon_ilHelHell1.1_Chr16_1006.5	25
exon_ilHelHell1.1_Chr16_1006.4	70
exon_ilHelHell1.1_Chr16_1006.3	338
exon_ilHelHell1.1_Chr16_1006.2	62
exon_ilHelHell1.1_Chr16_1006.1	71
exon_ilHelHell1.1_Chr16_1007.2	440
exon_ilHelHell1.1_Chr16_1007.1	79
exon_ilHelHell1.1_Chr16_1008.1	167
exon_ilHelHell1.1_Chr16_1008.2	22
exon_ilHelHell1.1_Chr16_1008.3	2082
exon_ilHelHell1.1_Chr16_1008.4	462
exon_ilHelHell1.1_Chr16_1009.3	679
exon_ilHelHell1.1_Chr16_1009.2	286
exon_ilHelHell1.1_Chr16_1009.1	133
exon_ilHelHell1.1_Chr16_101.8	211
exon_ilHelHell1.1_Chr16_101.7	155
exon_ilHelHell1.1_Chr16_101.6	131
exon_ilHelHell1.1_Chr16_101.5	589
exon_ilHelHell1.1_Chr16_101.4	91
exon_ilHelHell1.1_Chr16_101.3	252
exon_ilHelHell1.1_Chr16_101.2	140
exon_ilHelHell1.1_Chr16_101.1	27
exon_ilHelHell1.1_Chr16_1010.3	679
exon_ilHelHell1.1_Chr16_1010.2	286
exon_ilHelHell1.1_Chr16_1010.1	97
exon_ilHelHell1.1_Chr16_1011.1	1653
exon_ilHelHell1.1_Chr16_1012.3	117
exon_ilHelHell1.1_Chr16_1012.2	498
exon_ilHelHell1.1_Chr16_1012.1	3
exon_ilHelHell1.1_Chr16_1013.4	679
exon_ilHelHell1.1_Chr16_1013.3	295
exon_ilHelHell1.1_Chr16_1013.2	39
exon_ilHelHell1.1_Chr16_1013.1	82
exon_ilHelHell1.1_Chr16_1014.1	620
exon_ilHelHell1.1_Chr16_1014.2	261
exon_ilHelHell1.1_Chr16_1014.3	168
exon_ilHelHell1.1_Chr16_1014.4	7
exon_ilHelHell1.1_Chr16_1015.3	679
exon_ilHelHell1.1_Chr16_1015.2	295
exon_ilHelHell1.1_Chr16_1015.1	169
exon_ilHelHell1.1_Chr16_1016.1	19
exon_ilHelHell1.1_Chr16_1016.2	47
