Name	Size(bp)
HEHEL1A000003C1	855
HEHEL1A000030C1	1458
HEHEL1A000049C1	816
HEHEL1A000089C1	1467
HEHEL1A000102C1	1308
HEHEL1A000116C1	999
HEHEL1A000129C1	342
HEHEL1A000132C1	954
HEHEL1A000132C2	936
HEHEL1A000147C1	651
HEHEL1A000169C1	1494
HEHEL1A000219C1	7515
HEHEL1A000226C1	2016
HEHEL1A000226C2	1857
HEHEL1A000314C1	453
HEHEL1A000316C1	963
HEHEL1A000334C1	903
HEHEL1A000334C2	918
HEHEL1A000376C1	1152
HEHEL1A000425C1	1926
HEHEL1A000479C1	579
HEHEL1A000482C1	2103
HEHEL1A000492C1	6315
HEHEL1A000500C1	1968
HEHEL1A000500C2	1923
HEHEL1A000501C1	2169
HEHEL1A000525C1	2670
HEHEL1A000540C1	651
HEHEL1A000628C1	717
HEHEL1A000674C1	1335
HEHEL1A000721C1	1482
HEHEL1A000721C2	1368
HEHEL1A000726C1	1593
HEHEL1A000756C1	330
HEHEL1A000773C1	1665
HEHEL1A000775C1	447
HEHEL1A000808C1	393
HEHEL1A000811C1	933
HEHEL1A000813C1	282
HEHEL1A000886C1	165
HEHEL1A000891C1	13974
HEHEL1A000911C1	186
HEHEL1A000940C1	984
HEHEL1A000982C1	1629
HEHEL1A000993C1	657
HEHEL1A001003C1	531
HEHEL1A001132C1	870
HEHEL1A001170C1	1698
HEHEL1A001175C1	1146
HEHEL1A001184C1	987
HEHEL1A001184C2	1143
HEHEL1A001186C1	420
HEHEL1A001197C1	249
HEHEL1A001310C1	1437
HEHEL1A001328C1	348
HEHEL1A001355C1	882
HEHEL1A001355C2	882
HEHEL1A001384C1	279
HEHEL1A001431C1	504
HEHEL1A001497C1	243
HEHEL1A001532C1	1275
HEHEL1A001594C1	936
HEHEL1A001682C1	1293
HEHEL1A001695C1	507
HEHEL1A001697C1	1488
HEHEL1A001703C1	1935
HEHEL1A001710C1	2349
HEHEL1A001722C1	1839
HEHEL1A001737C1	5232
HEHEL1A001787C1	744
HEHEL1A001826C1	1287
HEHEL1A001852C1	924
HEHEL1A001857C1	546
HEHEL1A001869C1	717
HEHEL1A001870C1	552
HEHEL1A001883C1	366
HEHEL1A001946C1	2613
HEHEL1A001947C1	237
HEHEL1A002035C1	1329
HEHEL1A002041C1	357
HEHEL1A002103C1	1188
HEHEL1A002131C1	627
HEHEL1A002132C1	243
HEHEL1A002172C1	2097
HEHEL1A002197C1	207
HEHEL1A002231C1	198
HEHEL1A002246C1	1221
HEHEL1A002254C1	345
HEHEL1A002261C1	558
HEHEL1A002310C1	591
HEHEL1A002357C1	303
HEHEL1A002396C1	765
HEHEL1A002490C1	618
HEHEL1A002493C1	1668
HEHEL1A002513C1	1464
HEHEL1A002521C1	1533
HEHEL1A002550C1	435
HEHEL1A002563C1	888
HEHEL1A002595C1	741
HEHEL1A002631C1	222
HEHEL1A002649C1	1011
HEHEL1A002661C1	2091
HEHEL1A002676C1	2472
HEHEL1A002685C1	411
HEHEL1A002692C1	699
HEHEL1A002728C1	192
HEHEL1A002787C1	381
HEHEL1A002868C1	222
HEHEL1A002871C1	888
HEHEL1A002896C1	1575
HEHEL1A002916C1	804
HEHEL1A002946C1	387
HEHEL1A002973C1	2106
HEHEL1A002996C1	663
HEHEL1A003003C1	246
HEHEL1A003017C1	222
HEHEL1A003045C1	2841
HEHEL1A003045C2	2238
HEHEL1A003158C1	432
HEHEL1A003172C1	2292
HEHEL1A003181C1	177
HEHEL1A003185C1	630
HEHEL1A003190C1	804
HEHEL1A003226C1	222
HEHEL1A003245C1	789
HEHEL1A003245C2	945
HEHEL1A003245C3	948
HEHEL1A003245C4	954
HEHEL1A003245C5	903
HEHEL1A003245C6	903
HEHEL1A003245C7	945
HEHEL1A003251C1	1155
HEHEL1A003261C1	3321
HEHEL1A003261C2	3321
HEHEL1A003264C1	486
HEHEL1A003305C1	261
HEHEL1A003308C1	159
HEHEL1A003342C1	411
HEHEL1A003367C1	486
HEHEL1A003379C1	918
HEHEL1A003379C2	1227
HEHEL1A003379C3	918
HEHEL1A003401C1	441
HEHEL1A003471C1	3549
HEHEL1A003514C1	390
HEHEL1A003524C1	708
HEHEL1A003524C2	924
HEHEL1A003623C1	288
HEHEL1A003626C1	453
HEHEL1A003660C1	345
HEHEL1A003705C1	717
HEHEL1A003788C1	1119
HEHEL1A003815C1	801
HEHEL1A003816C1	1557
HEHEL1A003824C1	1512
HEHEL1A003824C2	1092
HEHEL1A003835C1	1503
HEHEL1A003887C1	10329
HEHEL1A003911C1	2091
HEHEL1A003911C2	2073
HEHEL1A003917C1	233
HEHEL1A003927C1	228
HEHEL1A003995C1	1221
HEHEL1A003997C1	1434
HEHEL1A004013C1	399
HEHEL1A004149C1	1827
HEHEL1A004204C1	255
HEHEL1A004232C1	708
HEHEL1A004287C1	474
HEHEL1A004293C1	879
HEHEL1A004323C1	435
HEHEL1A004331C1	3477
HEHEL1A004351C1	1098
HEHEL1A004354C1	429
HEHEL1A004360C1	2109
HEHEL1A004438C1	255
HEHEL1A004466C1	1917
HEHEL1A004470C1	1404
HEHEL1A004496C1	1404
HEHEL1A004509C1	151
HEHEL1A004581C1	642
HEHEL1A004584C1	1233
HEHEL1A004604C1	963
HEHEL1A004711C1	702
HEHEL1A004731C1	798
HEHEL1A004736C1	1047
HEHEL1A004775C1	303
HEHEL1A004777C1	1134
HEHEL1A004796C1	315
HEHEL1A004839C1	735
HEHEL1A004869C1	1530
HEHEL1A004920C1	1416
HEHEL1A004929C1	2697
HEHEL1A004941C1	846
HEHEL1A004950C1	256
HEHEL1A004953C1	222
HEHEL1A004954C1	660
