Name	Size(bp)
agat-three_prime_utr-1	1184
agat-three_prime_utr-2	3306
agat-three_prime_utr-3	81
agat-three_prime_utr-5	1901
agat-three_prime_utr-6	344
agat-three_prime_utr-7	344
agat-three_prime_utr-8	72
agat-three_prime_utr-9	122
agat-three_prime_utr-10	4331
agat-three_prime_utr-11	3403
agat-three_prime_utr-12	35
agat-three_prime_utr-13	433
agat-three_prime_utr-14	68
agat-three_prime_utr-15	327
agat-three_prime_utr-16	29
agat-three_prime_utr-17	57
agat-three_prime_utr-18	745
agat-three_prime_utr-19	1526
agat-three_prime_utr-20	63
agat-three_prime_utr-21	1206
agat-three_prime_utr-22	2868
agat-three_prime_utr-23	1387
agat-three_prime_utr-25	521
agat-three_prime_utr-27	521
agat-three_prime_utr-28	71
agat-three_prime_utr-29	23
agat-three_prime_utr-30	785
agat-three_prime_utr-31	1114
agat-three_prime_utr-32	1472
agat-three_prime_utr-34	2877
agat-three_prime_utr-35	7
agat-three_prime_utr-36	1185
agat-three_prime_utr-37	18
agat-three_prime_utr-38	425
agat-three_prime_utr-39	1094
agat-three_prime_utr-41	136
agat-three_prime_utr-42	93
agat-three_prime_utr-43	75
agat-three_prime_utr-44	880
agat-three_prime_utr-45	2626
agat-three_prime_utr-46	67
agat-three_prime_utr-47	18
agat-three_prime_utr-48	1603
agat-three_prime_utr-49	2136
agat-three_prime_utr-50	832
agat-three_prime_utr-51	840
agat-three_prime_utr-52	78
agat-three_prime_utr-53	78
agat-three_prime_utr-54	78
agat-three_prime_utr-55	78
agat-three_prime_utr-56	78
agat-three_prime_utr-57	78
agat-three_prime_utr-58	155
agat-three_prime_utr-59	421
agat-three_prime_utr-63	3176
agat-three_prime_utr-65	1741
agat-three_prime_utr-66	1452
agat-three_prime_utr-67	213
agat-three_prime_utr-68	2577
agat-three_prime_utr-69	148
agat-three_prime_utr-70	1022
agat-three_prime_utr-72	1665
agat-three_prime_utr-73	1298
agat-three_prime_utr-74	660
agat-three_prime_utr-75	815
agat-three_prime_utr-76	3542
agat-three_prime_utr-77	80
agat-three_prime_utr-78	758
agat-three_prime_utr-79	185
agat-three_prime_utr-80	1899
agat-three_prime_utr-81	1073
agat-three_prime_utr-82	858
agat-three_prime_utr-83	539
agat-three_prime_utr-84	1583
agat-three_prime_utr-85	2105
agat-three_prime_utr-86	1600
agat-three_prime_utr-87	2103
agat-three_prime_utr-88	317
agat-three_prime_utr-89	443
agat-three_prime_utr-90	42
agat-three_prime_utr-91	3356
agat-three_prime_utr-92	696
agat-three_prime_utr-93	133
agat-three_prime_utr-94	478
agat-three_prime_utr-95	239
agat-three_prime_utr-96	439
agat-three_prime_utr-97	56
agat-three_prime_utr-98	370
agat-three_prime_utr-99	66
agat-three_prime_utr-100	37
agat-three_prime_utr-101	639
agat-three_prime_utr-102	154
agat-three_prime_utr-103	1095
agat-three_prime_utr-104	1095
agat-three_prime_utr-105	99
agat-three_prime_utr-106	186
agat-three_prime_utr-107	605
agat-three_prime_utr-108	47
agat-three_prime_utr-109	47
agat-three_prime_utr-110	170
agat-three_prime_utr-111	20
agat-three_prime_utr-112	1904
agat-three_prime_utr-113	226
agat-three_prime_utr-114	226
agat-three_prime_utr-115	1383
agat-three_prime_utr-116	1204
agat-three_prime_utr-118	1025
agat-three_prime_utr-119	3641
agat-three_prime_utr-120	1487
agat-three_prime_utr-121	359
agat-three_prime_utr-122	385
agat-three_prime_utr-123	385
agat-three_prime_utr-124	385
agat-three_prime_utr-125	29
agat-three_prime_utr-126	735
agat-three_prime_utr-127	131
agat-three_prime_utr-128	430
agat-three_prime_utr-129	3273
agat-three_prime_utr-130	840
agat-three_prime_utr-131	124
agat-three_prime_utr-132	124
agat-three_prime_utr-133	124
agat-three_prime_utr-134	37
agat-three_prime_utr-135	37
agat-three_prime_utr-136	37
agat-three_prime_utr-137	56
agat-three_prime_utr-138	104
agat-three_prime_utr-139	3565
agat-three_prime_utr-140	1826
agat-three_prime_utr-141	276
agat-three_prime_utr-142	156
agat-three_prime_utr-143	4555
agat-three_prime_utr-144	2415
agat-three_prime_utr-145	144
agat-three_prime_utr-146	1902
agat-three_prime_utr-147	1252
agat-three_prime_utr-148	3468
agat-three_prime_utr-150	2529
agat-three_prime_utr-151	2360
agat-three_prime_utr-152	1203
agat-three_prime_utr-153	1197
agat-three_prime_utr-154	110
agat-three_prime_utr-155	2269
agat-three_prime_utr-156	498
agat-three_prime_utr-157	252
agat-three_prime_utr-158	252
agat-three_prime_utr-160	338
agat-three_prime_utr-161	454
agat-three_prime_utr-162	436
agat-three_prime_utr-163	1275
agat-three_prime_utr-164	968
agat-three_prime_utr-165	1304
agat-three_prime_utr-166	1188
agat-three_prime_utr-167	4824
agat-three_prime_utr-168	19
agat-three_prime_utr-169	1089
agat-three_prime_utr-170	682
agat-three_prime_utr-171	723
agat-three_prime_utr-172	2144
agat-three_prime_utr-173	391
agat-three_prime_utr-174	312
agat-three_prime_utr-175	312
agat-three_prime_utr-176	1774
agat-three_prime_utr-177	514
agat-three_prime_utr-178	110
