Name	Size(bp)
ilHelHell1.1_Chr16_1	5179
ilHelHell1.1_Chr16_10	1377
ilHelHell1.1_Chr16_100	3875
ilHelHell1.1_Chr16_1000	3806
ilHelHell1.1_Chr16_1001	19801
ilHelHell1.1_Chr16_1002	30153
ilHelHell1.1_Chr16_1003	1917
ilHelHell1.1_Chr16_1004	144093
ilHelHell1.1_Chr16_1005	28300
ilHelHell1.1_Chr16_1006	57350
ilHelHell1.1_Chr16_1007	10084
ilHelHell1.1_Chr16_1008	28584
ilHelHell1.1_Chr16_1009	2729
ilHelHell1.1_Chr16_101	10039
ilHelHell1.1_Chr16_1010	3461
ilHelHell1.1_Chr16_1011	1653
ilHelHell1.1_Chr16_1012	8628
ilHelHell1.1_Chr16_1013	25403
ilHelHell1.1_Chr16_1014	1620
ilHelHell1.1_Chr16_1015	8033
ilHelHell1.1_Chr16_1016	39142
ilHelHell1.1_Chr16_1017	432
ilHelHell1.1_Chr16_1018	1053
ilHelHell1.1_Chr16_1019	527
ilHelHell1.1_Chr16_102	11281
ilHelHell1.1_Chr16_1020	34531
ilHelHell1.1_Chr16_1021	20490
ilHelHell1.1_Chr16_1022	9115
ilHelHell1.1_Chr16_1023	954
ilHelHell1.1_Chr16_1024	2598
ilHelHell1.1_Chr16_1025	4152
ilHelHell1.1_Chr16_1026	5011
ilHelHell1.1_Chr16_1027	86469
ilHelHell1.1_Chr16_1028	636
ilHelHell1.1_Chr16_1029	4613
ilHelHell1.1_Chr16_103	959
ilHelHell1.1_Chr16_1030	50063
ilHelHell1.1_Chr16_1031	12781
ilHelHell1.1_Chr16_1032	1239
ilHelHell1.1_Chr16_1033	3005
ilHelHell1.1_Chr16_1034	123180
ilHelHell1.1_Chr16_1035	225
ilHelHell1.1_Chr16_1036	14149
ilHelHell1.1_Chr16_1037	516
ilHelHell1.1_Chr16_1038	9373
ilHelHell1.1_Chr16_1039	10664
ilHelHell1.1_Chr16_104	17631
ilHelHell1.1_Chr16_1040	38160
ilHelHell1.1_Chr16_1041	11424
ilHelHell1.1_Chr16_1042	8458
ilHelHell1.1_Chr16_1043	12166
ilHelHell1.1_Chr16_1044	21194
ilHelHell1.1_Chr16_1045	1882
ilHelHell1.1_Chr16_1046	4322
ilHelHell1.1_Chr16_1047	18395
ilHelHell1.1_Chr16_1048	7808
ilHelHell1.1_Chr16_1049	12940
ilHelHell1.1_Chr16_105	1902
ilHelHell1.1_Chr16_1050	1487
ilHelHell1.1_Chr16_1051	9893
ilHelHell1.1_Chr16_1052	3585
ilHelHell1.1_Chr16_1053	2448
ilHelHell1.1_Chr16_1054	330
ilHelHell1.1_Chr16_1055	36733
ilHelHell1.1_Chr16_1056	2042
ilHelHell1.1_Chr16_1057	51115
ilHelHell1.1_Chr16_1058	9038
ilHelHell1.1_Chr16_1059	3828
ilHelHell1.1_Chr16_106	1554
ilHelHell1.1_Chr16_1060	753
ilHelHell1.1_Chr16_1061	14328
ilHelHell1.1_Chr16_1062	3304
ilHelHell1.1_Chr16_1063	5619
ilHelHell1.1_Chr16_1064	14276
ilHelHell1.1_Chr16_1065	16483
ilHelHell1.1_Chr16_1066	3390
ilHelHell1.1_Chr16_1067	6340
ilHelHell1.1_Chr16_1068	26185
ilHelHell1.1_Chr16_1069	567
ilHelHell1.1_Chr16_107	632
ilHelHell1.1_Chr16_1070	3379
ilHelHell1.1_Chr16_1071	1114
ilHelHell1.1_Chr16_1072	5695
ilHelHell1.1_Chr16_1073	471
ilHelHell1.1_Chr16_1074	1355
ilHelHell1.1_Chr16_1075	1371
ilHelHell1.1_Chr16_1076	638
ilHelHell1.1_Chr16_1077	1371
ilHelHell1.1_Chr16_1078	1373
ilHelHell1.1_Chr16_1079	1371
ilHelHell1.1_Chr16_108	5049
ilHelHell1.1_Chr16_1080	7719
ilHelHell1.1_Chr16_1081	471
ilHelHell1.1_Chr16_1082	498
ilHelHell1.1_Chr16_1083	279
ilHelHell1.1_Chr16_1084	1371
ilHelHell1.1_Chr16_1085	588
ilHelHell1.1_Chr16_1086	4358
ilHelHell1.1_Chr16_1087	1375
ilHelHell1.1_Chr16_1088	543
ilHelHell1.1_Chr16_1089	783
ilHelHell1.1_Chr16_109	6575
ilHelHell1.1_Chr16_1090	4919
ilHelHell1.1_Chr16_1091	3739
ilHelHell1.1_Chr16_1092	4254
ilHelHell1.1_Chr16_1093	1518
ilHelHell1.1_Chr16_1094	2542
ilHelHell1.1_Chr16_1095	789
ilHelHell1.1_Chr16_1096	852
ilHelHell1.1_Chr16_1097	3587
ilHelHell1.1_Chr16_1098	1675
ilHelHell1.1_Chr16_1099	3046
ilHelHell1.1_Chr16_11	2712
ilHelHell1.1_Chr16_110	4860
ilHelHell1.1_Chr16_1100	591
ilHelHell1.1_Chr16_1101	6045
ilHelHell1.1_Chr16_1102	5257
ilHelHell1.1_Chr16_1103	29072
ilHelHell1.1_Chr16_1104	471
ilHelHell1.1_Chr16_1105	507
ilHelHell1.1_Chr16_1106	2921
ilHelHell1.1_Chr16_1107	1081
ilHelHell1.1_Chr16_1108	11686
ilHelHell1.1_Chr16_1109	13477
ilHelHell1.1_Chr16_111	4931
ilHelHell1.1_Chr16_1110	948
ilHelHell1.1_Chr16_1111	923
ilHelHell1.1_Chr16_1112	951
ilHelHell1.1_Chr16_1113	5181
ilHelHell1.1_Chr16_1114	1371
ilHelHell1.1_Chr16_1115	3189
ilHelHell1.1_Chr16_1116	5558
ilHelHell1.1_Chr16_1117	923
ilHelHell1.1_Chr16_1118	2839
ilHelHell1.1_Chr16_1119	2410
ilHelHell1.1_Chr16_112	4875
ilHelHell1.1_Chr16_1120	9977
ilHelHell1.1_Chr16_1121	4379
