Name	Size(bp)
ilHelHell1.1_Chr16_1	5179
ilHelHell1.1_Chr16_10	1377
ilHelHell1.1_Chr16_100	623
ilHelHell1.1_Chr16_1000	53738
ilHelHell1.1_Chr16_1001	2978
ilHelHell1.1_Chr16_1002	606
ilHelHell1.1_Chr16_1003	816
ilHelHell1.1_Chr16_1004	23508
ilHelHell1.1_Chr16_1005	729
ilHelHell1.1_Chr16_1006	10533
ilHelHell1.1_Chr16_1007	28705
ilHelHell1.1_Chr16_1008	747
ilHelHell1.1_Chr16_1009	6234
ilHelHell1.1_Chr16_101	5301
ilHelHell1.1_Chr16_1010	37186
ilHelHell1.1_Chr16_1011	33964
ilHelHell1.1_Chr16_1012	26447
ilHelHell1.1_Chr16_1013	38947
ilHelHell1.1_Chr16_1014	9259
ilHelHell1.1_Chr16_1015	11228
ilHelHell1.1_Chr16_1016	27508
ilHelHell1.1_Chr16_1017	627
ilHelHell1.1_Chr16_1018	886
ilHelHell1.1_Chr16_1019	2172
ilHelHell1.1_Chr16_102	3875
ilHelHell1.1_Chr16_1020	4577
ilHelHell1.1_Chr16_1021	789
ilHelHell1.1_Chr16_1022	50113
ilHelHell1.1_Chr16_1023	46639
ilHelHell1.1_Chr16_1024	342
ilHelHell1.1_Chr16_1025	12164
ilHelHell1.1_Chr16_1026	2966
ilHelHell1.1_Chr16_1027	3388
ilHelHell1.1_Chr16_1028	4856
ilHelHell1.1_Chr16_1029	30179
ilHelHell1.1_Chr16_103	10039
ilHelHell1.1_Chr16_1030	15029
ilHelHell1.1_Chr16_1031	21929
ilHelHell1.1_Chr16_1032	801
ilHelHell1.1_Chr16_1033	17789
ilHelHell1.1_Chr16_1034	594
ilHelHell1.1_Chr16_1035	4589
ilHelHell1.1_Chr16_1036	2525
ilHelHell1.1_Chr16_1037	1693
ilHelHell1.1_Chr16_1038	9105
ilHelHell1.1_Chr16_1039	2895
ilHelHell1.1_Chr16_104	11281
ilHelHell1.1_Chr16_1040	1137
ilHelHell1.1_Chr16_1041	15577
ilHelHell1.1_Chr16_1042	8760
ilHelHell1.1_Chr16_1043	14848
ilHelHell1.1_Chr16_1044	10616
ilHelHell1.1_Chr16_1045	8239
ilHelHell1.1_Chr16_1046	1772
ilHelHell1.1_Chr16_1047	4896
ilHelHell1.1_Chr16_1048	6546
ilHelHell1.1_Chr16_1049	13638
ilHelHell1.1_Chr16_105	1526
ilHelHell1.1_Chr16_1050	9882
ilHelHell1.1_Chr16_1051	546
ilHelHell1.1_Chr16_1052	18554
ilHelHell1.1_Chr16_1053	33398
ilHelHell1.1_Chr16_1054	6724
ilHelHell1.1_Chr16_1055	38390
ilHelHell1.1_Chr16_1056	3602
ilHelHell1.1_Chr16_1057	45702
ilHelHell1.1_Chr16_1058	1005
ilHelHell1.1_Chr16_1059	3806
ilHelHell1.1_Chr16_106	17871
ilHelHell1.1_Chr16_1060	19801
ilHelHell1.1_Chr16_1061	30153
ilHelHell1.1_Chr16_1062	1917
ilHelHell1.1_Chr16_1063	144093
ilHelHell1.1_Chr16_1064	28300
ilHelHell1.1_Chr16_1065	57350
ilHelHell1.1_Chr16_1066	10084
ilHelHell1.1_Chr16_1067	28584
ilHelHell1.1_Chr16_1068	2729
ilHelHell1.1_Chr16_1069	3461
ilHelHell1.1_Chr16_107	2541
ilHelHell1.1_Chr16_1070	1653
ilHelHell1.1_Chr16_1071	8628
ilHelHell1.1_Chr16_1072	25403
ilHelHell1.1_Chr16_1073	1620
ilHelHell1.1_Chr16_1074	22328
ilHelHell1.1_Chr16_1075	14344
ilHelHell1.1_Chr16_1076	13993
ilHelHell1.1_Chr16_1077	2488
ilHelHell1.1_Chr16_1078	1053
ilHelHell1.1_Chr16_1079	527
ilHelHell1.1_Chr16_108	1633
ilHelHell1.1_Chr16_1080	67780
ilHelHell1.1_Chr16_1081	15312
ilHelHell1.1_Chr16_1082	3600
ilHelHell1.1_Chr16_1083	6114
ilHelHell1.1_Chr16_1084	465
ilHelHell1.1_Chr16_1085	2598
ilHelHell1.1_Chr16_1086	4337
ilHelHell1.1_Chr16_1087	1316
ilHelHell1.1_Chr16_1088	86469
ilHelHell1.1_Chr16_1089	636
ilHelHell1.1_Chr16_109	632
ilHelHell1.1_Chr16_1090	4613
ilHelHell1.1_Chr16_1091	45771
ilHelHell1.1_Chr16_1092	14023
ilHelHell1.1_Chr16_1093	176
ilHelHell1.1_Chr16_1094	10299
ilHelHell1.1_Chr16_1095	123180
ilHelHell1.1_Chr16_1096	225
ilHelHell1.1_Chr16_1097	14149
ilHelHell1.1_Chr16_1098	516
ilHelHell1.1_Chr16_1099	5099
ilHelHell1.1_Chr16_11	2712
ilHelHell1.1_Chr16_110	20418
ilHelHell1.1_Chr16_1100	10664
ilHelHell1.1_Chr16_1101	38160
ilHelHell1.1_Chr16_1102	11474
ilHelHell1.1_Chr16_1103	2002
ilHelHell1.1_Chr16_1104	6282
ilHelHell1.1_Chr16_1105	12194
ilHelHell1.1_Chr16_1106	21641
ilHelHell1.1_Chr16_1107	1882
ilHelHell1.1_Chr16_1108	4585
ilHelHell1.1_Chr16_1109	18428
ilHelHell1.1_Chr16_111	5554
ilHelHell1.1_Chr16_1110	7884
ilHelHell1.1_Chr16_1111	12940
ilHelHell1.1_Chr16_1112	1487
ilHelHell1.1_Chr16_1113	9893
ilHelHell1.1_Chr16_1114	3585
ilHelHell1.1_Chr16_1115	2448
ilHelHell1.1_Chr16_1116	330
ilHelHell1.1_Chr16_1117	36733
ilHelHell1.1_Chr16_1118	2042
ilHelHell1.1_Chr16_1119	51115
ilHelHell1.1_Chr16_112	4998
ilHelHell1.1_Chr16_1120	9038
