Name	Size(bp)
ilHelHell1.1_Chr16_1	5179
ilHelHell1.1_Chr16_10	1377
ilHelHell1.1_Chr16_100	623
ilHelHell1.1_Chr16_1000	4077
ilHelHell1.1_Chr16_1001	20571
ilHelHell1.1_Chr16_1002	16577
ilHelHell1.1_Chr16_1003	85756
ilHelHell1.1_Chr16_1004	53738
ilHelHell1.1_Chr16_1005	2978
ilHelHell1.1_Chr16_1006	606
ilHelHell1.1_Chr16_1007	816
ilHelHell1.1_Chr16_1008	23508
ilHelHell1.1_Chr16_1009	729
ilHelHell1.1_Chr16_101	5301
ilHelHell1.1_Chr16_1010	10533
ilHelHell1.1_Chr16_1011	28705
ilHelHell1.1_Chr16_1012	747
ilHelHell1.1_Chr16_1013	6234
ilHelHell1.1_Chr16_1014	37186
ilHelHell1.1_Chr16_1015	33964
ilHelHell1.1_Chr16_1016	26447
ilHelHell1.1_Chr16_1017	38947
ilHelHell1.1_Chr16_1018	9259
ilHelHell1.1_Chr16_1019	11228
ilHelHell1.1_Chr16_102	3875
ilHelHell1.1_Chr16_1020	27508
ilHelHell1.1_Chr16_1021	627
ilHelHell1.1_Chr16_1022	886
ilHelHell1.1_Chr16_1023	2172
ilHelHell1.1_Chr16_1024	4577
ilHelHell1.1_Chr16_1025	789
ilHelHell1.1_Chr16_1026	50113
ilHelHell1.1_Chr16_1027	46639
ilHelHell1.1_Chr16_1028	342
ilHelHell1.1_Chr16_1029	12164
ilHelHell1.1_Chr16_103	10039
ilHelHell1.1_Chr16_1030	2966
ilHelHell1.1_Chr16_1031	3388
ilHelHell1.1_Chr16_1032	4856
ilHelHell1.1_Chr16_1033	30179
ilHelHell1.1_Chr16_1034	15029
ilHelHell1.1_Chr16_1035	21929
ilHelHell1.1_Chr16_1036	801
ilHelHell1.1_Chr16_1037	17789
ilHelHell1.1_Chr16_1038	594
ilHelHell1.1_Chr16_1039	4589
ilHelHell1.1_Chr16_104	11281
ilHelHell1.1_Chr16_1040	2525
ilHelHell1.1_Chr16_1041	1693
ilHelHell1.1_Chr16_1042	9105
ilHelHell1.1_Chr16_1043	2895
ilHelHell1.1_Chr16_1044	1137
ilHelHell1.1_Chr16_1045	15577
ilHelHell1.1_Chr16_1046	8760
ilHelHell1.1_Chr16_1047	14848
ilHelHell1.1_Chr16_1048	10616
ilHelHell1.1_Chr16_1049	8239
ilHelHell1.1_Chr16_105	1526
ilHelHell1.1_Chr16_1050	1772
ilHelHell1.1_Chr16_1051	4896
ilHelHell1.1_Chr16_1052	6546
ilHelHell1.1_Chr16_1053	13638
ilHelHell1.1_Chr16_1054	9882
ilHelHell1.1_Chr16_1055	546
ilHelHell1.1_Chr16_1056	18554
ilHelHell1.1_Chr16_1057	33398
ilHelHell1.1_Chr16_1058	6724
ilHelHell1.1_Chr16_1059	38390
ilHelHell1.1_Chr16_106	17871
ilHelHell1.1_Chr16_1060	3602
ilHelHell1.1_Chr16_1061	45702
ilHelHell1.1_Chr16_1062	1005
ilHelHell1.1_Chr16_1063	3806
ilHelHell1.1_Chr16_1064	19801
ilHelHell1.1_Chr16_1065	30153
ilHelHell1.1_Chr16_1066	1917
ilHelHell1.1_Chr16_1067	144093
ilHelHell1.1_Chr16_1068	28300
ilHelHell1.1_Chr16_1069	57350
ilHelHell1.1_Chr16_107	2541
ilHelHell1.1_Chr16_1070	10084
ilHelHell1.1_Chr16_1071	28584
ilHelHell1.1_Chr16_1072	2729
ilHelHell1.1_Chr16_1073	3461
ilHelHell1.1_Chr16_1074	1653
ilHelHell1.1_Chr16_1075	8628
ilHelHell1.1_Chr16_1076	25403
ilHelHell1.1_Chr16_1077	1620
ilHelHell1.1_Chr16_1078	22328
ilHelHell1.1_Chr16_1079	14344
ilHelHell1.1_Chr16_108	1633
ilHelHell1.1_Chr16_1080	13993
ilHelHell1.1_Chr16_1081	1531
ilHelHell1.1_Chr16_1082	3858
ilHelHell1.1_Chr16_1083	1053
ilHelHell1.1_Chr16_1084	527
ilHelHell1.1_Chr16_1085	67780
ilHelHell1.1_Chr16_1086	15312
ilHelHell1.1_Chr16_1087	3600
ilHelHell1.1_Chr16_1088	6114
ilHelHell1.1_Chr16_1089	465
ilHelHell1.1_Chr16_109	632
ilHelHell1.1_Chr16_1090	2598
ilHelHell1.1_Chr16_1091	4337
ilHelHell1.1_Chr16_1092	1316
ilHelHell1.1_Chr16_1093	86469
ilHelHell1.1_Chr16_1094	636
ilHelHell1.1_Chr16_1095	4613
ilHelHell1.1_Chr16_1096	45771
ilHelHell1.1_Chr16_1097	3181
ilHelHell1.1_Chr16_1098	2853
ilHelHell1.1_Chr16_1099	10299
ilHelHell1.1_Chr16_11	2712
ilHelHell1.1_Chr16_110	20418
ilHelHell1.1_Chr16_1100	123180
ilHelHell1.1_Chr16_1101	225
ilHelHell1.1_Chr16_1102	14149
ilHelHell1.1_Chr16_1103	516
ilHelHell1.1_Chr16_1104	5099
ilHelHell1.1_Chr16_1105	10664
ilHelHell1.1_Chr16_1106	38160
ilHelHell1.1_Chr16_1107	9229
ilHelHell1.1_Chr16_1108	1574
ilHelHell1.1_Chr16_1109	2002
ilHelHell1.1_Chr16_111	5554
ilHelHell1.1_Chr16_1110	6247
ilHelHell1.1_Chr16_1111	12194
ilHelHell1.1_Chr16_1112	8627
ilHelHell1.1_Chr16_1113	12315
ilHelHell1.1_Chr16_1114	1882
ilHelHell1.1_Chr16_1115	4585
ilHelHell1.1_Chr16_1116	18428
ilHelHell1.1_Chr16_1117	7884
ilHelHell1.1_Chr16_1118	12940
ilHelHell1.1_Chr16_1119	1487
ilHelHell1.1_Chr16_112	4998
ilHelHell1.1_Chr16_1120	9893
