Name	Size(bp)
mRNA_ilHelHell1.1_Chr16_1	5179
mRNA_ilHelHell1.1_Chr16_10	1377
mRNA_ilHelHell1.1_Chr16_100	623
mRNA_ilHelHell1.1_Chr16_1000	53738
mRNA_ilHelHell1.1_Chr16_1001	2978
mRNA_ilHelHell1.1_Chr16_1002	606
mRNA_ilHelHell1.1_Chr16_1003	816
mRNA_ilHelHell1.1_Chr16_1004	23508
mRNA_ilHelHell1.1_Chr16_1005	729
mRNA_ilHelHell1.1_Chr16_1006	10533
mRNA_ilHelHell1.1_Chr16_1007	28705
mRNA_ilHelHell1.1_Chr16_1008	747
mRNA_ilHelHell1.1_Chr16_1009	6234
mRNA_ilHelHell1.1_Chr16_101	5301
mRNA_ilHelHell1.1_Chr16_1010	37186
mRNA_ilHelHell1.1_Chr16_1011	33964
mRNA_ilHelHell1.1_Chr16_1012	26447
mRNA_ilHelHell1.1_Chr16_1013	38947
mRNA_ilHelHell1.1_Chr16_1014	9259
mRNA_ilHelHell1.1_Chr16_1015	11228
mRNA_ilHelHell1.1_Chr16_1016	27508
mRNA_ilHelHell1.1_Chr16_1017	627
mRNA_ilHelHell1.1_Chr16_1018	886
mRNA_ilHelHell1.1_Chr16_1019	2172
mRNA_ilHelHell1.1_Chr16_102	3875
mRNA_ilHelHell1.1_Chr16_1020	4577
mRNA_ilHelHell1.1_Chr16_1021	789
mRNA_ilHelHell1.1_Chr16_1022	50113
mRNA_ilHelHell1.1_Chr16_1023	46639
mRNA_ilHelHell1.1_Chr16_1024	342
mRNA_ilHelHell1.1_Chr16_1025	12164
mRNA_ilHelHell1.1_Chr16_1026	2966
mRNA_ilHelHell1.1_Chr16_1027	3388
mRNA_ilHelHell1.1_Chr16_1028	4856
mRNA_ilHelHell1.1_Chr16_1029	30179
mRNA_ilHelHell1.1_Chr16_103	10039
mRNA_ilHelHell1.1_Chr16_1030	15029
mRNA_ilHelHell1.1_Chr16_1031	21929
mRNA_ilHelHell1.1_Chr16_1032	801
mRNA_ilHelHell1.1_Chr16_1033	17789
mRNA_ilHelHell1.1_Chr16_1034	594
mRNA_ilHelHell1.1_Chr16_1035	4589
mRNA_ilHelHell1.1_Chr16_1036	2525
mRNA_ilHelHell1.1_Chr16_1037	1693
mRNA_ilHelHell1.1_Chr16_1038	9105
mRNA_ilHelHell1.1_Chr16_1039	2895
mRNA_ilHelHell1.1_Chr16_104	11281
mRNA_ilHelHell1.1_Chr16_1040	1137
mRNA_ilHelHell1.1_Chr16_1041	15577
mRNA_ilHelHell1.1_Chr16_1042	8760
mRNA_ilHelHell1.1_Chr16_1043	14848
mRNA_ilHelHell1.1_Chr16_1044	10616
mRNA_ilHelHell1.1_Chr16_1045	8239
mRNA_ilHelHell1.1_Chr16_1046	1772
mRNA_ilHelHell1.1_Chr16_1047	4896
mRNA_ilHelHell1.1_Chr16_1048	6546
mRNA_ilHelHell1.1_Chr16_1049	13638
mRNA_ilHelHell1.1_Chr16_105	1526
mRNA_ilHelHell1.1_Chr16_1050	9882
mRNA_ilHelHell1.1_Chr16_1051	546
mRNA_ilHelHell1.1_Chr16_1052	18554
mRNA_ilHelHell1.1_Chr16_1053	33398
mRNA_ilHelHell1.1_Chr16_1054	6724
mRNA_ilHelHell1.1_Chr16_1055	38390
