Name	Size(bp)
utr_ilHelHell1.1_Chr16_101.1	4806
utr_ilHelHell1.1_Chr16_1036.1	421
utr_ilHelHell1.1_Chr16_1037.1	199
utr_ilHelHell1.1_Chr16_1046.1	56
utr_ilHelHell1.1_Chr16_1047.1	564
utr_ilHelHell1.1_Chr16_1049.1	453
utr_ilHelHell1.1_Chr16_105.2	567
utr_ilHelHell1.1_Chr16_106.1	564
utr_ilHelHell1.1_Chr16_107.2	639
utr_ilHelHell1.1_Chr16_1075.1	879
utr_ilHelHell1.1_Chr16_1077.1	1230
utr_ilHelHell1.1_Chr16_108.1	79
utr_ilHelHell1.1_Chr16_1080.1	170
utr_ilHelHell1.1_Chr16_1081.1	2502
utr_ilHelHell1.1_Chr16_1082.1	342
utr_ilHelHell1.1_Chr16_1083.1	490
utr_ilHelHell1.1_Chr16_1086.1	185
utr_ilHelHell1.1_Chr16_1087.2	1225
utr_ilHelHell1.1_Chr16_1092.1	376
utr_ilHelHell1.1_Chr16_1093.1	77
utr_ilHelHell1.1_Chr16_1094.2	168
utr_ilHelHell1.1_Chr16_1099.2	283
utr_ilHelHell1.1_Chr16_110.1	1841
utr_ilHelHell1.1_Chr16_1102.2	50
utr_ilHelHell1.1_Chr16_1103.1	44
utr_ilHelHell1.1_Chr16_1104.1	5128
utr_ilHelHell1.1_Chr16_1105.1	28
utr_ilHelHell1.1_Chr16_1106.1	447
utr_ilHelHell1.1_Chr16_1108.2	263
utr_ilHelHell1.1_Chr16_1109.1	33
utr_ilHelHell1.1_Chr16_111.2	623
utr_ilHelHell1.1_Chr16_1110.1	76
utr_ilHelHell1.1_Chr16_112.1	123
utr_ilHelHell1.1_Chr16_1124.1	584
utr_ilHelHell1.1_Chr16_113.1	155
utr_ilHelHell1.1_Chr16_114.1	676
utr_ilHelHell1.1_Chr16_115.2	808
utr_ilHelHell1.1_Chr16_116.1	408
utr_ilHelHell1.1_Chr16_118.2	2310
utr_ilHelHell1.1_Chr16_1183.2	194
utr_ilHelHell1.1_Chr16_1185.2	546
utr_ilHelHell1.1_Chr16_1187.1	654
utr_ilHelHell1.1_Chr16_1198.1	1222
utr_ilHelHell1.1_Chr16_1201.2	522
utr_ilHelHell1.1_Chr16_1203.2	429
utr_ilHelHell1.1_Chr16_1206.1	2049
utr_ilHelHell1.1_Chr16_1231.2	1326
utr_ilHelHell1.1_Chr16_1232.1	694
utr_ilHelHell1.1_Chr16_1236.1	261
utr_ilHelHell1.1_Chr16_1239.2	43
utr_ilHelHell1.1_Chr16_1259.2	1435
utr_ilHelHell1.1_Chr16_1261.1	627
utr_ilHelHell1.1_Chr16_1263.2	128
utr_ilHelHell1.1_Chr16_1266.2	324
utr_ilHelHell1.1_Chr16_1267.1	396
utr_ilHelHell1.1_Chr16_1268.1	555
utr_ilHelHell1.1_Chr16_1273.1	208
utr_ilHelHell1.1_Chr16_1275.1	519
utr_ilHelHell1.1_Chr16_1278.1	1520
utr_ilHelHell1.1_Chr16_1281.1	846
utr_ilHelHell1.1_Chr16_1290.1	59
utr_ilHelHell1.1_Chr16_150.1	113
utr_ilHelHell1.1_Chr16_152.1	791
utr_ilHelHell1.1_Chr16_161.1	1065
utr_ilHelHell1.1_Chr16_167.1	3015
utr_ilHelHell1.1_Chr16_168.1	695
utr_ilHelHell1.1_Chr16_170.1	1403
utr_ilHelHell1.1_Chr16_173.1	3797
utr_ilHelHell1.1_Chr16_175.1	142
utr_ilHelHell1.1_Chr16_177.2	338
utr_ilHelHell1.1_Chr16_186.1	1534
utr_ilHelHell1.1_Chr16_187.2	1952
utr_ilHelHell1.1_Chr16_190.2	728
utr_ilHelHell1.1_Chr16_199.1	746
utr_ilHelHell1.1_Chr16_203.2	2895
utr_ilHelHell1.1_Chr16_216.1	1973
utr_ilHelHell1.1_Chr16_218.1	373
utr_ilHelHell1.1_Chr16_221.2	208
utr_ilHelHell1.1_Chr16_222.1	4945
utr_ilHelHell1.1_Chr16_224.2	927
utr_ilHelHell1.1_Chr16_225.1	683
utr_ilHelHell1.1_Chr16_226.1	362
utr_ilHelHell1.1_Chr16_228.1	2874
utr_ilHelHell1.1_Chr16_229.1	556
utr_ilHelHell1.1_Chr16_25.1	274
utr_ilHelHell1.1_Chr16_272.1	495
utr_ilHelHell1.1_Chr16_279.2	539
utr_ilHelHell1.1_Chr16_283.2	659
utr_ilHelHell1.1_Chr16_288.2	162
utr_ilHelHell1.1_Chr16_290.1	727
utr_ilHelHell1.1_Chr16_292.2	1640
utr_ilHelHell1.1_Chr16_298.3	326
utr_ilHelHell1.1_Chr16_31.1	603
utr_ilHelHell1.1_Chr16_314.1	732
utr_ilHelHell1.1_Chr16_323.1	114
utr_ilHelHell1.1_Chr16_324.2	335
utr_ilHelHell1.1_Chr16_332.1	2886
utr_ilHelHell1.1_Chr16_333.2	548
utr_ilHelHell1.1_Chr16_34.1	1593
utr_ilHelHell1.1_Chr16_348.1	279
utr_ilHelHell1.1_Chr16_349.2	460
utr_ilHelHell1.1_Chr16_358.1	148
utr_ilHelHell1.1_Chr16_391.1	912
utr_ilHelHell1.1_Chr16_392.2	386
utr_ilHelHell1.1_Chr16_393.1	2104
utr_ilHelHell1.1_Chr16_397.1	554
utr_ilHelHell1.1_Chr16_405.2	123
utr_ilHelHell1.1_Chr16_406.2	1518
utr_ilHelHell1.1_Chr16_407.2	642
