Name	Size(bp)
intron_added-1	256
intron_added-2	113
intron_added-3	1657
intron_added-4	264
intron_added-5	623
intron_added-6	553
intron_added-7	344
intron_added-8	296
intron_added-9	737
intron_added-10	1222
intron_added-11	566
intron_added-12	1092
intron_added-13	1098
intron_added-14	2526
intron_added-15	4628
intron_added-16	2572
intron_added-17	10091
intron_added-18	6294
intron_added-19	24199
intron_added-20	15003
intron_added-21	15317
intron_added-22	16459
intron_added-23	885
intron_added-24	610
intron_added-25	914
intron_added-26	263
intron_added-27	394
intron_added-28	550
intron_added-29	3463
intron_added-30	2236
intron_added-31	9368
intron_added-32	5645
intron_added-33	19903
intron_added-34	17861
intron_added-35	574
intron_added-36	185
intron_added-37	3521
intron_added-38	17755
intron_added-39	198
intron_added-40	9969
intron_added-41	141
intron_added-42	7844
intron_added-43	16178
intron_added-44	462
intron_added-45	417
intron_added-46	804
intron_added-47	10881
intron_added-48	23119
intron_added-49	314
intron_added-50	2271
intron_added-51	1091
intron_added-52	6719
intron_added-53	171
intron_added-54	21931
intron_added-55	8316
intron_added-56	17870
intron_added-57	24511
intron_added-58	239
intron_added-59	6779
intron_added-60	2090
intron_added-61	4383
intron_added-62	9103
intron_added-63	922
intron_added-64	705
intron_added-65	650
intron_added-66	3837
intron_added-67	1016
intron_added-68	2364
intron_added-69	1084
intron_added-70	1580
intron_added-71	503
intron_added-72	14705
intron_added-73	210
intron_added-74	478
intron_added-75	739
intron_added-76	1186
intron_added-77	482
intron_added-78	995
intron_added-79	1705
intron_added-80	1105
intron_added-81	1103
intron_added-82	181
intron_added-83	2183
intron_added-84	87
intron_added-85	544
intron_added-86	108
intron_added-87	85
intron_added-88	752
intron_added-89	4403
intron_added-90	2314
intron_added-91	13471
intron_added-92	11788
intron_added-93	18307
intron_added-94	1584
intron_added-95	1179
intron_added-96	7171
intron_added-97	10443
intron_added-98	11490
intron_added-99	7057
intron_added-100	1230
intron_added-101	1601
intron_added-102	1413
intron_added-103	2929
intron_added-104	1823
intron_added-105	2601
intron_added-106	9188
intron_added-107	514
intron_added-108	941
intron_added-109	764
intron_added-110	2578
intron_added-111	1133
intron_added-112	2424
intron_added-113	89
intron_added-114	2276
intron_added-115	2914
intron_added-116	462
intron_added-117	1805
intron_added-118	168
intron_added-119	15566
intron_added-120	8025
intron_added-121	163
intron_added-122	50
intron_added-123	1307
intron_added-124	3456
intron_added-125	4897
intron_added-126	3601
intron_added-127	223
intron_added-128	558
intron_added-129	1772
intron_added-130	853
intron_added-131	1158
intron_added-132	497
intron_added-133	4923
intron_added-134	1269
intron_added-135	5957
intron_added-136	968
intron_added-137	321
