Name	Size(bp)
HEHEL1A000003T1.exon2	2016
HEHEL1A000003T1.exon1	77
HEHEL1A000030T1.exon6	149
HEHEL1A000030T1.exon5	149
HEHEL1A000030T1.exon4	196
HEHEL1A000030T1.exon3	169
HEHEL1A000030T1.exon2	123
HEHEL1A000030T1.exon1	672
HEHEL1A000049T1.exon1	150
HEHEL1A000049T1.exon2	143
HEHEL1A000049T1.exon3	94
HEHEL1A000049T1.exon4	155
HEHEL1A000049T1.exon5	274
HEHEL1A000089T1.exon1	190
HEHEL1A000089T1.exon2	113
HEHEL1A000089T1.exon3	118
HEHEL1A000089T1.exon4	101
HEHEL1A000089T1.exon5	244
HEHEL1A000089T1.exon6	177
HEHEL1A000089T1.exon7	103
HEHEL1A000089T1.exon8	235
HEHEL1A000089T1.exon9	90
HEHEL1A000089T1.exon10	160
HEHEL1A000089T1.exon11	3383
HEHEL1A000102T1.exon8	318
HEHEL1A000102T1.exon7	173
HEHEL1A000102T1.exon6	200
HEHEL1A000102T1.exon5	118
HEHEL1A000102T1.exon4	162
HEHEL1A000102T1.exon3	131
HEHEL1A000102T1.exon2	280
HEHEL1A000102T1.exon1	180
HEHEL1A000116T1.exon1	400
HEHEL1A000116T1.exon2	225
HEHEL1A000116T1.exon3	271
HEHEL1A000116T1.exon4	133
HEHEL1A000116T1.exon5	1845
HEHEL1A000116T1.exon6	213
HEHEL1A000129T1.exon1	342
HEHEL1A000132T1.exon1	364
HEHEL1A000132T1.exon2	113
HEHEL1A000132T1.exon3	179
HEHEL1A000132T1.exon4	243
HEHEL1A000132T1.exon5	144
HEHEL1A000132T1.exon6	533
HEHEL1A000132T2.exon1	364
HEHEL1A000132T2.exon2	95
HEHEL1A000132T2.exon3	179
HEHEL1A000132T2.exon4	243
HEHEL1A000132T2.exon5	144
HEHEL1A000132T2.exon6	533
HEHEL1A000147T1.exon1	651
HEHEL1A000169T1.exon1	70
HEHEL1A000169T1.exon2	87
HEHEL1A000169T1.exon3	150
HEHEL1A000169T1.exon4	206
HEHEL1A000169T1.exon5	92
HEHEL1A000169T1.exon6	175
HEHEL1A000169T1.exon7	125
HEHEL1A000169T1.exon8	137
HEHEL1A000169T1.exon9	140
HEHEL1A000169T1.exon10	262
HEHEL1A000169T1.exon11	50
HEHEL1A000219T1.exon38	115
HEHEL1A000219T1.exon37	125
HEHEL1A000219T1.exon36	113
HEHEL1A000219T1.exon35	81
HEHEL1A000219T1.exon34	122
HEHEL1A000219T1.exon33	733
HEHEL1A000219T1.exon32	625
HEHEL1A000219T1.exon31	961
HEHEL1A000219T1.exon30	72
HEHEL1A000219T1.exon29	114
HEHEL1A000219T1.exon28	129
HEHEL1A000219T1.exon27	72
HEHEL1A000219T1.exon26	402
HEHEL1A000219T1.exon25	86
HEHEL1A000219T1.exon24	142
HEHEL1A000219T1.exon23	119
HEHEL1A000219T1.exon22	193
