Name	Size(bp)
intron_added-1	256
intron_added-2	113
intron_added-3	9368
intron_added-4	5645
intron_added-5	19903
intron_added-6	17861
intron_added-7	574
intron_added-8	185
intron_added-9	3521
intron_added-10	17755
intron_added-11	9969
intron_added-12	141
intron_added-13	7844
intron_added-14	16178
intron_added-15	462
intron_added-16	417
intron_added-17	198
intron_added-18	804
intron_added-19	10881
intron_added-20	23119
intron_added-21	314
intron_added-22	2271
intron_added-23	1091
intron_added-24	6719
intron_added-25	171
intron_added-26	21931
intron_added-27	8316
intron_added-28	17870
intron_added-29	24511
intron_added-30	239
intron_added-31	6779
intron_added-32	2090
intron_added-33	4383
intron_added-34	9103
intron_added-35	922
intron_added-36	705
intron_added-37	650
intron_added-38	3837
intron_added-39	1016
intron_added-40	2364
intron_added-41	14705
intron_added-42	210
intron_added-43	478
intron_added-44	739
intron_added-45	1186
intron_added-46	482
intron_added-47	995
intron_added-48	1705
intron_added-49	1105
intron_added-50	1103
intron_added-51	181
intron_added-52	2183
intron_added-53	87
intron_added-54	544
intron_added-55	108
intron_added-56	85
intron_added-57	752
intron_added-58	1084
intron_added-59	1580
intron_added-60	503
intron_added-61	4403
intron_added-62	2314
intron_added-63	13471
intron_added-64	11788
intron_added-65	18307
intron_added-66	1584
intron_added-67	1179
intron_added-68	7171
intron_added-69	10443
intron_added-70	11490
intron_added-71	7057
intron_added-72	1230
intron_added-73	1601
intron_added-74	1413
intron_added-75	2929
intron_added-76	1823
intron_added-77	2601
intron_added-78	9188
intron_added-79	2276
intron_added-80	2914
intron_added-81	462
intron_added-82	1805
intron_added-83	168
intron_added-84	15566
intron_added-85	8025
intron_added-86	163
intron_added-87	50
intron_added-88	514
intron_added-89	941
intron_added-90	764
intron_added-91	2578
intron_added-92	1133
intron_added-93	2424
intron_added-94	89
intron_added-95	1307
intron_added-96	3456
intron_added-97	4897
intron_added-98	3601
intron_added-99	223
intron_added-100	558
intron_added-101	1772
intron_added-102	853
intron_added-103	1158
intron_added-104	497
intron_added-105	4923
intron_added-106	1269
intron_added-107	5957
intron_added-108	968
intron_added-109	321
intron_added-110	427
intron_added-111	1291
intron_added-112	13484
intron_added-113	3315
intron_added-114	1515
intron_added-115	1868
intron_added-116	1255
intron_added-117	85
intron_added-118	633
intron_added-119	302
intron_added-120	260
intron_added-121	548
intron_added-122	4973
intron_added-123	945
intron_added-124	3907
intron_added-125	1714
intron_added-126	1091
intron_added-127	624
intron_added-128	175
intron_added-129	1712
intron_added-130	744
intron_added-131	562
intron_added-132	1583
intron_added-133	3904
intron_added-134	372
intron_added-135	722
intron_added-136	1870
intron_added-137	1065
