Name	Size(bp)
HEHEL1A000003T1	2179
HEHEL1A000030T1	6784
HEHEL1A000049T1	20490
HEHEL1A000089T1	16317
HEHEL1A000102T1	8350
HEHEL1A000116T1	7631
HEHEL1A000129T1	342
HEHEL1A000132T1	21770
HEHEL1A000132T2	21770
HEHEL1A000147T1	651
HEHEL1A000169T1	137249
HEHEL1A000219T1	40861
HEHEL1A000226T1	22099
HEHEL1A000226T2	20493
HEHEL1A000314T1	7535
HEHEL1A000316T1	1791
HEHEL1A000334T1	44297
HEHEL1A000334T2	1579
HEHEL1A000376T1	8097
HEHEL1A000425T1	3761
HEHEL1A000479T1	579
HEHEL1A000482T1	8138
HEHEL1A000492T1	255900
HEHEL1A000500T1	9827
HEHEL1A000500T2	9123
HEHEL1A000501T1	4573
HEHEL1A000525T1	22543
HEHEL1A000540T1	651
HEHEL1A000628T1	7203
HEHEL1A000674T1	3610
HEHEL1A000721T1	18242
HEHEL1A000721T2	12166
HEHEL1A000726T1	12082
HEHEL1A000756T1	628
HEHEL1A000773T1	7382
HEHEL1A000775T1	1098
HEHEL1A000808T1	1740
HEHEL1A000811T1	2768
HEHEL1A000813T1	1073
HEHEL1A000886T1	165
HEHEL1A000891T1	40959
HEHEL1A000911T1	186
HEHEL1A000940T1	1127
HEHEL1A000982T1	8521
HEHEL1A000993T1	1476
HEHEL1A001003T1	2110
HEHEL1A001132T1	1925
HEHEL1A001170T1	6009
HEHEL1A001175T1	12542
HEHEL1A001184T1	12138
HEHEL1A001184T2	9128
HEHEL1A001186T1	4545
HEHEL1A001197T1	249
HEHEL1A001310T1	2531
HEHEL1A001328T1	438
HEHEL1A001355T1	4211
HEHEL1A001355T2	8866
HEHEL1A001384T1	279
HEHEL1A001431T1	835
HEHEL1A001497T1	4727
HEHEL1A001532T1	9025
HEHEL1A001594T1	936
HEHEL1A001682T1	129996
HEHEL1A001695T1	5283
HEHEL1A001697T1	15962
HEHEL1A001703T1	1935
HEHEL1A001710T1	23447
HEHEL1A001722T1	52764
HEHEL1A001737T1	75400
HEHEL1A001787T1	8891
HEHEL1A001826T1	4629
HEHEL1A001852T1	7612
HEHEL1A001857T1	6745
HEHEL1A001869T1	760
HEHEL1A001870T1	2745
HEHEL1A001883T1	366
HEHEL1A001946T1	10884
HEHEL1A001947T1	237
HEHEL1A002035T1	3632
HEHEL1A002041T1	21019
HEHEL1A002103T1	5135
HEHEL1A002131T1	129022
HEHEL1A002132T1	243
HEHEL1A002172T1	4408
HEHEL1A002197T1	207
HEHEL1A002231T1	786
HEHEL1A002246T1	16526
HEHEL1A002254T1	1221
HEHEL1A002261T1	1505
HEHEL1A002310T1	591
HEHEL1A002357T1	303
HEHEL1A002396T1	3382
HEHEL1A002490T1	618
HEHEL1A002493T1	19993
HEHEL1A002513T1	4418
HEHEL1A002521T1	18508
HEHEL1A002550T1	490
HEHEL1A002563T1	977
HEHEL1A002595T1	3513
HEHEL1A002631T1	222
HEHEL1A002649T1	2346
HEHEL1A002661T1	5660
HEHEL1A002676T1	15595
HEHEL1A002685T1	411
HEHEL1A002692T1	5926
HEHEL1A002728T1	192
HEHEL1A002787T1	550
HEHEL1A002868T1	222
HEHEL1A002871T1	888
HEHEL1A002896T1	99324
HEHEL1A002916T1	16504
HEHEL1A002946T1	1819
HEHEL1A002973T1	178654
HEHEL1A002996T1	663
HEHEL1A003003T1	1503
HEHEL1A003017T1	1172
HEHEL1A003045T1	9517
HEHEL1A003045T2	4539
HEHEL1A003158T1	432
HEHEL1A003172T1	3098
HEHEL1A003181T1	177
HEHEL1A003185T1	3788
HEHEL1A003190T1	804
HEHEL1A003226T1	1469
HEHEL1A003245T1	18344
HEHEL1A003245T2	18344
HEHEL1A003245T3	18344
HEHEL1A003245T4	18344
HEHEL1A003245T5	18344
HEHEL1A003245T6	18012
HEHEL1A003245T7	17776
HEHEL1A003251T1	30043
HEHEL1A003261T1	15684
HEHEL1A003261T2	8467
HEHEL1A003264T1	486
HEHEL1A003305T1	261
HEHEL1A003308T1	159
HEHEL1A003342T1	411
HEHEL1A003367T1	1081
HEHEL1A003379T1	53774
HEHEL1A003379T2	45827
HEHEL1A003379T3	48388
HEHEL1A003401T1	879
HEHEL1A003471T1	124397
HEHEL1A003514T1	390
HEHEL1A003524T1	2928
HEHEL1A003524T2	1311
HEHEL1A003623T1	1447
HEHEL1A003626T1	10005
HEHEL1A003660T1	6802
HEHEL1A003705T1	19379
HEHEL1A003788T1	1214
HEHEL1A003815T1	1227
HEHEL1A003816T1	28929
HEHEL1A003824T1	31968
HEHEL1A003824T2	12884
HEHEL1A003835T1	33747
HEHEL1A003887T1	141180
HEHEL1A003911T1	19259
HEHEL1A003911T2	8376
HEHEL1A003917T1	233
HEHEL1A003927T1	479
HEHEL1A003995T1	1221
HEHEL1A003997T1	29894
HEHEL1A004013T1	2526
HEHEL1A004149T1	33190
HEHEL1A004204T1	503
HEHEL1A004232T1	4240
HEHEL1A004287T1	2352
HEHEL1A004293T1	879
HEHEL1A004323T1	490
HEHEL1A004331T1	74912
HEHEL1A004351T1	2729
HEHEL1A004354T1	429
HEHEL1A004360T1	9408
HEHEL1A004438T1	255
HEHEL1A004466T1	1917
HEHEL1A004470T1	5668
HEHEL1A004496T1	3676
HEHEL1A004509T1	151
HEHEL1A004581T1	642
HEHEL1A004584T1	1501
HEHEL1A004604T1	963
HEHEL1A004711T1	31200
HEHEL1A004731T1	10402
HEHEL1A004736T1	24657
HEHEL1A004775T1	303
HEHEL1A004777T1	90089
HEHEL1A004796T1	315
HEHEL1A004839T1	5267
HEHEL1A004869T1	14792
HEHEL1A004920T1	33201
HEHEL1A004929T1	76775
HEHEL1A004941T1	1215
HEHEL1A004950T1	6256
HEHEL1A004953T1	1698
HEHEL1A004954T1	4592
HEHEL1A004963T1	44761
HEHEL1A004983T1	2141
HEHEL1A004999T1	35504
HEHEL1A005019T1	117504
HEHEL1A005030T1	12985
HEHEL1A005060T1	294
HEHEL1A005098T1	910
HEHEL1A005159T1	7576
HEHEL1A005159T2	5769
HEHEL1A005174T1	2252
HEHEL1A005214T1	1290
HEHEL1A005271T1	33346
HEHEL1A005431T1	6552
HEHEL1A005489T1	462
HEHEL1A005521T1	8113
HEHEL1A005547T1	1089
HEHEL1A005571T1	16021
HEHEL1A005595T1	267
HEHEL1A005729T1	2816
HEHEL1A005739T1	99805
HEHEL1A005744T1	2810
HEHEL1A005781T1	4046
HEHEL1A005991T1	10897
HEHEL1A006005T1	6213
HEHEL1A006093T1	18580
HEHEL1A006194T1	12306
HEHEL1A006208T1	210
HEHEL1A006218T1	16895
HEHEL1A006283T1	486
HEHEL1A006324T1	13163
HEHEL1A006355T1	26122
HEHEL1A006390T1	23161
HEHEL1A006393T1	1845
HEHEL1A006400T1	2257
HEHEL1A006402T1	1532
HEHEL1A006433T1	1412
HEHEL1A006439T1	3541
HEHEL1A006464T1	9548
HEHEL1A006471T1	69165
HEHEL1A006502T1	10667
HEHEL1A006547T1	2732
HEHEL1A006556T1	262
HEHEL1A006633T1	1131
HEHEL1A006641T1	918
HEHEL1A006666T1	15874
HEHEL1A006670T1	6101
HEHEL1A006670T2	5664
HEHEL1A006681T1	4005
HEHEL1A006712T1	4906
HEHEL1A006888T1	381
HEHEL1A006902T1	3778
HEHEL1A006914T1	11659
HEHEL1A007006T1	9701
HEHEL1A007017T1	2617
HEHEL1A007033T1	5909
HEHEL1A007059T1	72682
HEHEL1A007061T1	183
HEHEL1A007109T1	16713
HEHEL1A007153T1	724
HEHEL1A007153T2	542
HEHEL1A007187T1	192
HEHEL1A007191T1	305
HEHEL1A007228T1	16370
HEHEL1A007228T2	16528
HEHEL1A007267T1	6356
HEHEL1A007273T1	16154
HEHEL1A007320T1	351
HEHEL1A007365T1	183
HEHEL1A007381T1	1842
HEHEL1A007456T1	615
HEHEL1A007467T1	206533
HEHEL1A007467T2	266144
HEHEL1A007467T3	216270
HEHEL1A007481T1	468
HEHEL1A007505T1	810
HEHEL1A007559T1	2796
HEHEL1A007573T1	1517
HEHEL1A007624T1	25263
HEHEL1A007651T1	3632
HEHEL1A007692T1	8494
HEHEL1A007692T2	8103
HEHEL1A007712T1	486
HEHEL1A007749T1	2233
HEHEL1A007764T1	6083
HEHEL1A007765T1	2678
HEHEL1A007795T1	4178
HEHEL1A007795T2	4744
HEHEL1A007814T1	14192
HEHEL1A007870T1	183
HEHEL1A007950T1	30171
HEHEL1A007962T1	3828
HEHEL1A007963T1	10328
HEHEL1A007972T1	789
HEHEL1A007975T1	1545
HEHEL1A007989T1	3631
HEHEL1A008075T1	14876
HEHEL1A008075T2	14876
HEHEL1A008078T1	156
HEHEL1A008086T1	35436
HEHEL1A008122T1	3494
HEHEL1A008131T1	2430
