Name	Size(bp)
HEHEL1A000003	2179
HEHEL1A000030	6784
HEHEL1A000049	20490
HEHEL1A000089	16317
HEHEL1A000102	8350
HEHEL1A000116	7631
HEHEL1A000129	342
HEHEL1A000132	21770
HEHEL1A000147	651
HEHEL1A000169	137249
HEHEL1A000219	40861
HEHEL1A000226	22099
HEHEL1A000314	7535
HEHEL1A000316	1791
HEHEL1A000334	44297
HEHEL1A000376	8097
HEHEL1A000425	3761
HEHEL1A000479	579
HEHEL1A000482	8138
HEHEL1A000492	255900
HEHEL1A000500	9827
HEHEL1A000501	4573
HEHEL1A000525	22543
HEHEL1A000540	651
HEHEL1A000628	7203
HEHEL1A000674	3610
HEHEL1A000721	18242
HEHEL1A000726	12082
HEHEL1A000756	628
HEHEL1A000773	7382
HEHEL1A000775	1098
HEHEL1A000808	1740
HEHEL1A000811	2768
HEHEL1A000813	1073
HEHEL1A000886	165
HEHEL1A000891	40959
HEHEL1A000911	186
HEHEL1A000940	1127
HEHEL1A000982	8521
HEHEL1A000993	1476
HEHEL1A001003	2110
HEHEL1A001132	1925
HEHEL1A001170	6009
HEHEL1A001175	12542
HEHEL1A001184	12138
HEHEL1A001186	4545
HEHEL1A001197	249
HEHEL1A001310	2531
HEHEL1A001328	438
HEHEL1A001355	8866
HEHEL1A001384	279
HEHEL1A001431	835
HEHEL1A001497	4727
HEHEL1A001532	9025
HEHEL1A001594	936
HEHEL1A001682	129996
HEHEL1A001695	5283
HEHEL1A001697	15962
HEHEL1A001703	1935
HEHEL1A001710	23447
HEHEL1A001722	52764
HEHEL1A001737	75400
HEHEL1A001787	8891
HEHEL1A001826	4629
HEHEL1A001852	7612
HEHEL1A001857	6745
HEHEL1A001869	760
HEHEL1A001870	2745
HEHEL1A001883	366
HEHEL1A001946	10884
HEHEL1A001947	237
HEHEL1A002035	3632
HEHEL1A002041	21019
HEHEL1A002103	5135
HEHEL1A002131	129022
HEHEL1A002132	243
HEHEL1A002172	4408
HEHEL1A002197	207
HEHEL1A002231	786
HEHEL1A002246	16526
HEHEL1A002254	1221
HEHEL1A002261	1505
HEHEL1A002310	591
HEHEL1A002357	303
HEHEL1A002396	3382
HEHEL1A002490	618
HEHEL1A002493	19993
HEHEL1A002513	4418
HEHEL1A002521	18508
HEHEL1A002550	490
HEHEL1A002563	977
HEHEL1A002595	3513
HEHEL1A002631	222
HEHEL1A002649	2346
HEHEL1A002661	5660
HEHEL1A002676	15595
HEHEL1A002685	411
HEHEL1A002692	5926
HEHEL1A002728	192
HEHEL1A002787	550
HEHEL1A002868	222
HEHEL1A002871	888
HEHEL1A002896	99324
HEHEL1A002916	16504
HEHEL1A002946	1819
HEHEL1A002973	178654
HEHEL1A002996	663
HEHEL1A003003	1503
HEHEL1A003017	1172
HEHEL1A003045	9634
HEHEL1A003158	432
HEHEL1A003172	3098
HEHEL1A003181	177
HEHEL1A003185	3788
HEHEL1A003190	804
HEHEL1A003226	1469
HEHEL1A003245	18344
HEHEL1A003251	30043
HEHEL1A003261	15684
HEHEL1A003264	486
HEHEL1A003305	261
HEHEL1A003308	159
HEHEL1A003342	411
HEHEL1A003367	1081
HEHEL1A003379	53774
HEHEL1A003401	879
HEHEL1A003471	124397
HEHEL1A003514	390
HEHEL1A003524	2928
HEHEL1A003623	1447
HEHEL1A003626	10005
