Name	Size(bp)
exon_ilHelHell1.1_Chr16_1.1	1281
exon_ilHelHell1.1_Chr16_1.2	3642
exon_ilHelHell1.1_Chr16_10.1	1377
exon_ilHelHell1.1_Chr16_100.1	68
exon_ilHelHell1.1_Chr16_100.2	442
exon_ilHelHell1.1_Chr16_1000.1	155
exon_ilHelHell1.1_Chr16_1000.2	209
exon_ilHelHell1.1_Chr16_1000.3	1792
exon_ilHelHell1.1_Chr16_1001.13	87
exon_ilHelHell1.1_Chr16_1001.12	162
exon_ilHelHell1.1_Chr16_1001.11	272
exon_ilHelHell1.1_Chr16_1001.10	99
exon_ilHelHell1.1_Chr16_1001.9	1679
exon_ilHelHell1.1_Chr16_1001.8	113
exon_ilHelHell1.1_Chr16_1001.7	161
exon_ilHelHell1.1_Chr16_1001.6	152
exon_ilHelHell1.1_Chr16_1001.5	169
exon_ilHelHell1.1_Chr16_1001.4	179
exon_ilHelHell1.1_Chr16_1001.3	173
exon_ilHelHell1.1_Chr16_1001.2	111
exon_ilHelHell1.1_Chr16_1001.1	957
exon_ilHelHell1.1_Chr16_1002.3	6
exon_ilHelHell1.1_Chr16_1002.2	112
exon_ilHelHell1.1_Chr16_1002.1	74
exon_ilHelHell1.1_Chr16_1003.13	11
exon_ilHelHell1.1_Chr16_1003.12	49
exon_ilHelHell1.1_Chr16_1003.11	70
exon_ilHelHell1.1_Chr16_1003.10	48
exon_ilHelHell1.1_Chr16_1003.9	107
exon_ilHelHell1.1_Chr16_1003.8	558
exon_ilHelHell1.1_Chr16_1003.7	128
exon_ilHelHell1.1_Chr16_1003.6	336
exon_ilHelHell1.1_Chr16_1003.5	177
exon_ilHelHell1.1_Chr16_1003.4	279
exon_ilHelHell1.1_Chr16_1003.3	449
exon_ilHelHell1.1_Chr16_1003.2	2365
exon_ilHelHell1.1_Chr16_1003.1	886
exon_ilHelHell1.1_Chr16_1004.6	32
exon_ilHelHell1.1_Chr16_1004.5	132
exon_ilHelHell1.1_Chr16_1004.4	59
exon_ilHelHell1.1_Chr16_1004.3	58
exon_ilHelHell1.1_Chr16_1004.2	103
exon_ilHelHell1.1_Chr16_1004.1	3
exon_ilHelHell1.1_Chr16_1005.1	1497
exon_ilHelHell1.1_Chr16_1005.2	1296
exon_ilHelHell1.1_Chr16_1006.1	606
exon_ilHelHell1.1_Chr16_1007.1	816
exon_ilHelHell1.1_Chr16_1008.3	6
exon_ilHelHell1.1_Chr16_1008.2	937
exon_ilHelHell1.1_Chr16_1008.1	1289
exon_ilHelHell1.1_Chr16_1009.1	729
exon_ilHelHell1.1_Chr16_101.1	22
exon_ilHelHell1.1_Chr16_101.2	5081
exon_ilHelHell1.1_Chr16_1010.2	32
exon_ilHelHell1.1_Chr16_1010.1	532
exon_ilHelHell1.1_Chr16_1011.4	161
exon_ilHelHell1.1_Chr16_1011.3	4312
exon_ilHelHell1.1_Chr16_1011.2	26
exon_ilHelHell1.1_Chr16_1011.1	43
exon_ilHelHell1.1_Chr16_1012.1	747
exon_ilHelHell1.1_Chr16_1013.1	1372
exon_ilHelHell1.1_Chr16_1013.2	2149
exon_ilHelHell1.1_Chr16_1013.3	1834
exon_ilHelHell1.1_Chr16_1014.1	50
exon_ilHelHell1.1_Chr16_1014.2	35
exon_ilHelHell1.1_Chr16_1014.3	2285
exon_ilHelHell1.1_Chr16_1014.4	12
exon_ilHelHell1.1_Chr16_1015.1	547
exon_ilHelHell1.1_Chr16_1015.2	160
exon_ilHelHell1.1_Chr16_1015.3	50
exon_ilHelHell1.1_Chr16_1015.4	87
exon_ilHelHell1.1_Chr16_1015.5	187
exon_ilHelHell1.1_Chr16_1015.6	229
exon_ilHelHell1.1_Chr16_1015.7	207
exon_ilHelHell1.1_Chr16_1016.3	199
exon_ilHelHell1.1_Chr16_1016.2	46
exon_ilHelHell1.1_Chr16_1016.1	16
