Name	Size(bp)
mRNA_ilHelHell1.1_Chr16_1	5179
mRNA_ilHelHell1.1_Chr16_10	1377
mRNA_ilHelHell1.1_Chr16_100	623
mRNA_ilHelHell1.1_Chr16_1000	4077
mRNA_ilHelHell1.1_Chr16_1001	20571
mRNA_ilHelHell1.1_Chr16_1002	16577
mRNA_ilHelHell1.1_Chr16_1003	85756
mRNA_ilHelHell1.1_Chr16_1004	53738
mRNA_ilHelHell1.1_Chr16_1005	2978
mRNA_ilHelHell1.1_Chr16_1006	606
mRNA_ilHelHell1.1_Chr16_1007	816
mRNA_ilHelHell1.1_Chr16_1008	23508
mRNA_ilHelHell1.1_Chr16_1009	729
mRNA_ilHelHell1.1_Chr16_101	5301
mRNA_ilHelHell1.1_Chr16_1010	10533
mRNA_ilHelHell1.1_Chr16_1011	28705
mRNA_ilHelHell1.1_Chr16_1012	747
mRNA_ilHelHell1.1_Chr16_1013	6234
mRNA_ilHelHell1.1_Chr16_1014	37186
mRNA_ilHelHell1.1_Chr16_1015	33964
mRNA_ilHelHell1.1_Chr16_1016	26447
mRNA_ilHelHell1.1_Chr16_1017	38947
mRNA_ilHelHell1.1_Chr16_1018	9259
mRNA_ilHelHell1.1_Chr16_1019	11228
mRNA_ilHelHell1.1_Chr16_102	3875
mRNA_ilHelHell1.1_Chr16_1020	27508
mRNA_ilHelHell1.1_Chr16_1021	627
mRNA_ilHelHell1.1_Chr16_1022	886
mRNA_ilHelHell1.1_Chr16_1023	2172
mRNA_ilHelHell1.1_Chr16_1024	4577
mRNA_ilHelHell1.1_Chr16_1025	789
mRNA_ilHelHell1.1_Chr16_1026	50113
mRNA_ilHelHell1.1_Chr16_1027	46639
mRNA_ilHelHell1.1_Chr16_1028	342
mRNA_ilHelHell1.1_Chr16_1029	12164
mRNA_ilHelHell1.1_Chr16_103	10039
mRNA_ilHelHell1.1_Chr16_1030	2966
mRNA_ilHelHell1.1_Chr16_1031	3388
mRNA_ilHelHell1.1_Chr16_1032	4856
mRNA_ilHelHell1.1_Chr16_1033	30179
mRNA_ilHelHell1.1_Chr16_1034	15029
mRNA_ilHelHell1.1_Chr16_1035	21929
mRNA_ilHelHell1.1_Chr16_1036	801
mRNA_ilHelHell1.1_Chr16_1037	17789
mRNA_ilHelHell1.1_Chr16_1038	594
mRNA_ilHelHell1.1_Chr16_1039	4589
mRNA_ilHelHell1.1_Chr16_104	11281
mRNA_ilHelHell1.1_Chr16_1040	2525
mRNA_ilHelHell1.1_Chr16_1041	1693
mRNA_ilHelHell1.1_Chr16_1042	9105
mRNA_ilHelHell1.1_Chr16_1043	2895
mRNA_ilHelHell1.1_Chr16_1044	1137
mRNA_ilHelHell1.1_Chr16_1045	15577
mRNA_ilHelHell1.1_Chr16_1046	8760
mRNA_ilHelHell1.1_Chr16_1047	14848
mRNA_ilHelHell1.1_Chr16_1048	10616
mRNA_ilHelHell1.1_Chr16_1049	8239
mRNA_ilHelHell1.1_Chr16_105	1526
mRNA_ilHelHell1.1_Chr16_1050	1772
mRNA_ilHelHell1.1_Chr16_1051	4896
mRNA_ilHelHell1.1_Chr16_1052	6546
mRNA_ilHelHell1.1_Chr16_1053	13638
mRNA_ilHelHell1.1_Chr16_1054	9882
mRNA_ilHelHell1.1_Chr16_1055	546
