Name	Size(bp)
utr_ilHelHell1.1_Chr16_1000.2	320
utr_ilHelHell1.1_Chr16_101.1	4806
utr_ilHelHell1.1_Chr16_1040.1	421
utr_ilHelHell1.1_Chr16_1041.1	199
utr_ilHelHell1.1_Chr16_105.2	567
utr_ilHelHell1.1_Chr16_1050.1	56
utr_ilHelHell1.1_Chr16_1051.1	564
utr_ilHelHell1.1_Chr16_1053.1	453
utr_ilHelHell1.1_Chr16_106.1	743
utr_ilHelHell1.1_Chr16_107.2	639
utr_ilHelHell1.1_Chr16_1079.1	879
utr_ilHelHell1.1_Chr16_108.1	79
utr_ilHelHell1.1_Chr16_1081.1	1099
utr_ilHelHell1.1_Chr16_1082.1	2576
utr_ilHelHell1.1_Chr16_1085.1	238
utr_ilHelHell1.1_Chr16_1086.1	2502
utr_ilHelHell1.1_Chr16_1087.1	342
utr_ilHelHell1.1_Chr16_1088.1	490
utr_ilHelHell1.1_Chr16_1091.1	185
utr_ilHelHell1.1_Chr16_1092.2	553
utr_ilHelHell1.1_Chr16_1097.1	192
utr_ilHelHell1.1_Chr16_1098.1	2754
utr_ilHelHell1.1_Chr16_1099.2	168
utr_ilHelHell1.1_Chr16_110.1	1841
utr_ilHelHell1.1_Chr16_1104.2	283
utr_ilHelHell1.1_Chr16_1107.1	11
utr_ilHelHell1.1_Chr16_1108.1	39
utr_ilHelHell1.1_Chr16_1109.1	44
utr_ilHelHell1.1_Chr16_111.2	623
utr_ilHelHell1.1_Chr16_1110.1	4514
utr_ilHelHell1.1_Chr16_1111.1	28
utr_ilHelHell1.1_Chr16_1112.1	366
utr_ilHelHell1.1_Chr16_1113.1	81
utr_ilHelHell1.1_Chr16_1115.2	263
utr_ilHelHell1.1_Chr16_1116.1	33
utr_ilHelHell1.1_Chr16_1117.1	76
utr_ilHelHell1.1_Chr16_112.1	123
utr_ilHelHell1.1_Chr16_113.1	155
utr_ilHelHell1.1_Chr16_1131.1	221
utr_ilHelHell1.1_Chr16_114.1	676
utr_ilHelHell1.1_Chr16_115.2	808
utr_ilHelHell1.1_Chr16_116.1	408
utr_ilHelHell1.1_Chr16_118.2	2310
