Name	Size(bp)
mRNA_ilHelHell1.1_Chr16_1	5179
mRNA_ilHelHell1.1_Chr16_10	1377
mRNA_ilHelHell1.1_Chr16_100	3875
mRNA_ilHelHell1.1_Chr16_1000	8033
mRNA_ilHelHell1.1_Chr16_1001	39142
mRNA_ilHelHell1.1_Chr16_1002	432
mRNA_ilHelHell1.1_Chr16_1003	1053
mRNA_ilHelHell1.1_Chr16_1004	527
mRNA_ilHelHell1.1_Chr16_1005	34531
mRNA_ilHelHell1.1_Chr16_1006	20490
mRNA_ilHelHell1.1_Chr16_1007	9115
mRNA_ilHelHell1.1_Chr16_1008	954
mRNA_ilHelHell1.1_Chr16_1009	2598
mRNA_ilHelHell1.1_Chr16_101	10039
mRNA_ilHelHell1.1_Chr16_1010	4152
mRNA_ilHelHell1.1_Chr16_1011	86469
mRNA_ilHelHell1.1_Chr16_1012	636
mRNA_ilHelHell1.1_Chr16_1013	4613
mRNA_ilHelHell1.1_Chr16_1014	50063
mRNA_ilHelHell1.1_Chr16_1015	12781
mRNA_ilHelHell1.1_Chr16_1016	1239
mRNA_ilHelHell1.1_Chr16_1017	3005
mRNA_ilHelHell1.1_Chr16_1018	123180
mRNA_ilHelHell1.1_Chr16_1019	225
mRNA_ilHelHell1.1_Chr16_102	11281
mRNA_ilHelHell1.1_Chr16_1020	14149
mRNA_ilHelHell1.1_Chr16_1021	516
mRNA_ilHelHell1.1_Chr16_1022	30435
mRNA_ilHelHell1.1_Chr16_1023	10664
mRNA_ilHelHell1.1_Chr16_1024	48548
mRNA_ilHelHell1.1_Chr16_1025	1535
mRNA_ilHelHell1.1_Chr16_1026	8458
mRNA_ilHelHell1.1_Chr16_1027	12166
mRNA_ilHelHell1.1_Chr16_1028	8261
mRNA_ilHelHell1.1_Chr16_1029	12234
mRNA_ilHelHell1.1_Chr16_103	959
mRNA_ilHelHell1.1_Chr16_1030	1882
mRNA_ilHelHell1.1_Chr16_1031	4322
mRNA_ilHelHell1.1_Chr16_1032	18395
mRNA_ilHelHell1.1_Chr16_1033	7808
mRNA_ilHelHell1.1_Chr16_1034	12940
mRNA_ilHelHell1.1_Chr16_1035	1487
mRNA_ilHelHell1.1_Chr16_1036	9893
mRNA_ilHelHell1.1_Chr16_1037	3585
mRNA_ilHelHell1.1_Chr16_1038	2448
mRNA_ilHelHell1.1_Chr16_1039	330
mRNA_ilHelHell1.1_Chr16_104	17605
mRNA_ilHelHell1.1_Chr16_1040	36733
mRNA_ilHelHell1.1_Chr16_1041	2042
mRNA_ilHelHell1.1_Chr16_1042	51115
mRNA_ilHelHell1.1_Chr16_1043	9038
mRNA_ilHelHell1.1_Chr16_1044	3828
mRNA_ilHelHell1.1_Chr16_1045	753
mRNA_ilHelHell1.1_Chr16_1046	14328
mRNA_ilHelHell1.1_Chr16_1047	20430
mRNA_ilHelHell1.1_Chr16_1048	14276
mRNA_ilHelHell1.1_Chr16_1049	16483
mRNA_ilHelHell1.1_Chr16_105	1902
mRNA_ilHelHell1.1_Chr16_1050	3390
mRNA_ilHelHell1.1_Chr16_1051	6340
mRNA_ilHelHell1.1_Chr16_1052	26185
mRNA_ilHelHell1.1_Chr16_1053	567
mRNA_ilHelHell1.1_Chr16_1054	3379
mRNA_ilHelHell1.1_Chr16_1055	1114
