Name	Size(bp)
cds_ilHelHell1.1_Chr16_1	4923
cds_ilHelHell1.1_Chr16_10	1377
cds_ilHelHell1.1_Chr16_100	708
cds_ilHelHell1.1_Chr16_1000	1143
cds_ilHelHell1.1_Chr16_1001	1341
cds_ilHelHell1.1_Chr16_1002	432
cds_ilHelHell1.1_Chr16_1003	1053
cds_ilHelHell1.1_Chr16_1004	174
cds_ilHelHell1.1_Chr16_1005	666
cds_ilHelHell1.1_Chr16_1006	816
cds_ilHelHell1.1_Chr16_1007	1884
cds_ilHelHell1.1_Chr16_1008	657
cds_ilHelHell1.1_Chr16_1009	2433
cds_ilHelHell1.1_Chr16_101	1596
cds_ilHelHell1.1_Chr16_1010	2505
cds_ilHelHell1.1_Chr16_1011	1872
cds_ilHelHell1.1_Chr16_1012	636
cds_ilHelHell1.1_Chr16_1013	717
cds_ilHelHell1.1_Chr16_1014	3843
cds_ilHelHell1.1_Chr16_1015	822
cds_ilHelHell1.1_Chr16_1016	1239
cds_ilHelHell1.1_Chr16_1017	687
cds_ilHelHell1.1_Chr16_1018	4947
cds_ilHelHell1.1_Chr16_1019	225
cds_ilHelHell1.1_Chr16_102	1314
cds_ilHelHell1.1_Chr16_1020	1692
cds_ilHelHell1.1_Chr16_1021	516
cds_ilHelHell1.1_Chr16_1022	879
cds_ilHelHell1.1_Chr16_1023	879
cds_ilHelHell1.1_Chr16_1024	5949
cds_ilHelHell1.1_Chr16_1025	720
cds_ilHelHell1.1_Chr16_1026	1122
cds_ilHelHell1.1_Chr16_1027	1587
cds_ilHelHell1.1_Chr16_1028	1353
cds_ilHelHell1.1_Chr16_1029	993
cds_ilHelHell1.1_Chr16_103	465
cds_ilHelHell1.1_Chr16_1030	816
cds_ilHelHell1.1_Chr16_1031	645
cds_ilHelHell1.1_Chr16_1032	2493
cds_ilHelHell1.1_Chr16_1033	639
cds_ilHelHell1.1_Chr16_1034	1887
cds_ilHelHell1.1_Chr16_1035	468
cds_ilHelHell1.1_Chr16_1036	543
cds_ilHelHell1.1_Chr16_1037	228
cds_ilHelHell1.1_Chr16_1038	219
cds_ilHelHell1.1_Chr16_1039	330
cds_ilHelHell1.1_Chr16_104	2499
cds_ilHelHell1.1_Chr16_1040	588
cds_ilHelHell1.1_Chr16_1041	1554
cds_ilHelHell1.1_Chr16_1042	1620
cds_ilHelHell1.1_Chr16_1043	1827
cds_ilHelHell1.1_Chr16_1044	2658
cds_ilHelHell1.1_Chr16_1045	753
cds_ilHelHell1.1_Chr16_1046	3156
cds_ilHelHell1.1_Chr16_1047	1911
cds_ilHelHell1.1_Chr16_1048	855
cds_ilHelHell1.1_Chr16_1049	1632
cds_ilHelHell1.1_Chr16_105	1902
cds_ilHelHell1.1_Chr16_1050	816
cds_ilHelHell1.1_Chr16_1051	1779
cds_ilHelHell1.1_Chr16_1052	1029
cds_ilHelHell1.1_Chr16_1053	567
cds_ilHelHell1.1_Chr16_1054	1875
cds_ilHelHell1.1_Chr16_1055	714
cds_ilHelHell1.1_Chr16_1056	1281
cds_ilHelHell1.1_Chr16_1057	471
cds_ilHelHell1.1_Chr16_1058	876
cds_ilHelHell1.1_Chr16_1059	1371
cds_ilHelHell1.1_Chr16_106	189
cds_ilHelHell1.1_Chr16_1060	414
cds_ilHelHell1.1_Chr16_1061	1371
cds_ilHelHell1.1_Chr16_1062	1131
cds_ilHelHell1.1_Chr16_1063	1371
cds_ilHelHell1.1_Chr16_1064	1281
cds_ilHelHell1.1_Chr16_1065	471
cds_ilHelHell1.1_Chr16_1066	498
cds_ilHelHell1.1_Chr16_1067	279
cds_ilHelHell1.1_Chr16_1068	1371
cds_ilHelHell1.1_Chr16_1069	588
cds_ilHelHell1.1_Chr16_107	237
cds_ilHelHell1.1_Chr16_1070	1755
cds_ilHelHell1.1_Chr16_1071	1185
cds_ilHelHell1.1_Chr16_1072	543
cds_ilHelHell1.1_Chr16_1073	783
cds_ilHelHell1.1_Chr16_1074	3636
cds_ilHelHell1.1_Chr16_1075	1056
cds_ilHelHell1.1_Chr16_1076	3963
cds_ilHelHell1.1_Chr16_1077	1518
cds_ilHelHell1.1_Chr16_1078	1995
cds_ilHelHell1.1_Chr16_1079	708
cds_ilHelHell1.1_Chr16_108	696
cds_ilHelHell1.1_Chr16_1080	852
cds_ilHelHell1.1_Chr16_1081	2622
cds_ilHelHell1.1_Chr16_1082	999
cds_ilHelHell1.1_Chr16_1083	2919
cds_ilHelHell1.1_Chr16_1084	591
cds_ilHelHell1.1_Chr16_1085	3462
cds_ilHelHell1.1_Chr16_1086	405
cds_ilHelHell1.1_Chr16_1087	4503
cds_ilHelHell1.1_Chr16_1088	471
cds_ilHelHell1.1_Chr16_1089	507
cds_ilHelHell1.1_Chr16_109	936
cds_ilHelHell1.1_Chr16_1090	699
cds_ilHelHell1.1_Chr16_1091	507
cds_ilHelHell1.1_Chr16_1092	2865
cds_ilHelHell1.1_Chr16_1093	5484
cds_ilHelHell1.1_Chr16_1094	948
cds_ilHelHell1.1_Chr16_1095	606
cds_ilHelHell1.1_Chr16_1096	879
cds_ilHelHell1.1_Chr16_1097	1611
cds_ilHelHell1.1_Chr16_1098	1371
cds_ilHelHell1.1_Chr16_1099	741
cds_ilHelHell1.1_Chr16_11	2712
cds_ilHelHell1.1_Chr16_110	498
cds_ilHelHell1.1_Chr16_1100	990
cds_ilHelHell1.1_Chr16_1101	606
cds_ilHelHell1.1_Chr16_1102	2244
cds_ilHelHell1.1_Chr16_1103	2112
