Name	Size(bp)
cds_ilHelHell1.1_Chr16_1	4923
cds_ilHelHell1.1_Chr16_10	1377
cds_ilHelHell1.1_Chr16_100	510
cds_ilHelHell1.1_Chr16_1000	387
cds_ilHelHell1.1_Chr16_1001	2793
cds_ilHelHell1.1_Chr16_1002	606
cds_ilHelHell1.1_Chr16_1003	816
cds_ilHelHell1.1_Chr16_1004	2232
cds_ilHelHell1.1_Chr16_1005	729
cds_ilHelHell1.1_Chr16_1006	564
cds_ilHelHell1.1_Chr16_1007	4542
cds_ilHelHell1.1_Chr16_1008	747
cds_ilHelHell1.1_Chr16_1009	5355
cds_ilHelHell1.1_Chr16_101	297
cds_ilHelHell1.1_Chr16_1010	2382
cds_ilHelHell1.1_Chr16_1011	1467
cds_ilHelHell1.1_Chr16_1012	261
cds_ilHelHell1.1_Chr16_1013	945
cds_ilHelHell1.1_Chr16_1014	156
cds_ilHelHell1.1_Chr16_1015	1734
cds_ilHelHell1.1_Chr16_1016	2349
cds_ilHelHell1.1_Chr16_1017	627
cds_ilHelHell1.1_Chr16_1018	342
cds_ilHelHell1.1_Chr16_1019	1227
cds_ilHelHell1.1_Chr16_102	708
cds_ilHelHell1.1_Chr16_1020	174
cds_ilHelHell1.1_Chr16_1021	789
cds_ilHelHell1.1_Chr16_1022	1470
cds_ilHelHell1.1_Chr16_1023	1482
cds_ilHelHell1.1_Chr16_1024	342
cds_ilHelHell1.1_Chr16_1025	375
cds_ilHelHell1.1_Chr16_1026	690
cds_ilHelHell1.1_Chr16_1027	474
cds_ilHelHell1.1_Chr16_1028	2421
cds_ilHelHell1.1_Chr16_1029	6375
cds_ilHelHell1.1_Chr16_103	1596
cds_ilHelHell1.1_Chr16_1030	1545
cds_ilHelHell1.1_Chr16_1031	1935
cds_ilHelHell1.1_Chr16_1032	801
cds_ilHelHell1.1_Chr16_1033	990
cds_ilHelHell1.1_Chr16_1034	594
cds_ilHelHell1.1_Chr16_1035	1206
cds_ilHelHell1.1_Chr16_1036	849
cds_ilHelHell1.1_Chr16_1037	474
cds_ilHelHell1.1_Chr16_1038	2379
cds_ilHelHell1.1_Chr16_1039	2895
cds_ilHelHell1.1_Chr16_104	1314
cds_ilHelHell1.1_Chr16_1040	1137
cds_ilHelHell1.1_Chr16_1041	5040
cds_ilHelHell1.1_Chr16_1042	2643
cds_ilHelHell1.1_Chr16_1043	3345
cds_ilHelHell1.1_Chr16_1044	759
cds_ilHelHell1.1_Chr16_1045	1191
cds_ilHelHell1.1_Chr16_1046	381
cds_ilHelHell1.1_Chr16_1047	1686
cds_ilHelHell1.1_Chr16_1048	4812
cds_ilHelHell1.1_Chr16_1049	2127
cds_ilHelHell1.1_Chr16_105	465
cds_ilHelHell1.1_Chr16_1050	2043
cds_ilHelHell1.1_Chr16_1051	546
cds_ilHelHell1.1_Chr16_1052	1119
cds_ilHelHell1.1_Chr16_1053	669
cds_ilHelHell1.1_Chr16_1054	387
cds_ilHelHell1.1_Chr16_1055	1497
cds_ilHelHell1.1_Chr16_1056	1026
cds_ilHelHell1.1_Chr16_1057	3477
cds_ilHelHell1.1_Chr16_1058	1005
cds_ilHelHell1.1_Chr16_1059	72
cds_ilHelHell1.1_Chr16_106	2388
cds_ilHelHell1.1_Chr16_1060	1215
cds_ilHelHell1.1_Chr16_1061	1284
cds_ilHelHell1.1_Chr16_1062	1917
cds_ilHelHell1.1_Chr16_1063	3117
cds_ilHelHell1.1_Chr16_1064	255
cds_ilHelHell1.1_Chr16_1065	603
cds_ilHelHell1.1_Chr16_1066	519
cds_ilHelHell1.1_Chr16_1067	2733
cds_ilHelHell1.1_Chr16_1068	1098
cds_ilHelHell1.1_Chr16_1069	1062
cds_ilHelHell1.1_Chr16_107	1902
cds_ilHelHell1.1_Chr16_1070	1653
cds_ilHelHell1.1_Chr16_1071	618
cds_ilHelHell1.1_Chr16_1072	1095
cds_ilHelHell1.1_Chr16_1073	1056
cds_ilHelHell1.1_Chr16_1074	1005
cds_ilHelHell1.1_Chr16_1075	324
cds_ilHelHell1.1_Chr16_1076	1215
cds_ilHelHell1.1_Chr16_1077	432
cds_ilHelHell1.1_Chr16_1078	1053
cds_ilHelHell1.1_Chr16_1079	174
cds_ilHelHell1.1_Chr16_108	189
cds_ilHelHell1.1_Chr16_1080	258
cds_ilHelHell1.1_Chr16_1081	714
cds_ilHelHell1.1_Chr16_1082	720
cds_ilHelHell1.1_Chr16_1083	1278
cds_ilHelHell1.1_Chr16_1084	465
cds_ilHelHell1.1_Chr16_1085	2433
cds_ilHelHell1.1_Chr16_1086	2529
cds_ilHelHell1.1_Chr16_1088	1872
cds_ilHelHell1.1_Chr16_1089	636
cds_ilHelHell1.1_Chr16_109	237
cds_ilHelHell1.1_Chr16_1090	717
cds_ilHelHell1.1_Chr16_1091	1098
cds_ilHelHell1.1_Chr16_1092	2772
cds_ilHelHell1.1_Chr16_1093	99
cds_ilHelHell1.1_Chr16_1094	1242
cds_ilHelHell1.1_Chr16_1095	4947
cds_ilHelHell1.1_Chr16_1096	225
cds_ilHelHell1.1_Chr16_1097	1692
cds_ilHelHell1.1_Chr16_1098	516
cds_ilHelHell1.1_Chr16_1099	735
cds_ilHelHell1.1_Chr16_11	2712
cds_ilHelHell1.1_Chr16_110	1128
cds_ilHelHell1.1_Chr16_1100	879
cds_ilHelHell1.1_Chr16_1101	4944
cds_ilHelHell1.1_Chr16_1102	1431
cds_ilHelHell1.1_Chr16_1103	417
