Name	Size(bp)
agat-five_prime_utr-1	54
agat-five_prime_utr-2	141
agat-five_prime_utr-3	173
agat-five_prime_utr-4	187
agat-five_prime_utr-5	278
agat-five_prime_utr-6	278
agat-five_prime_utr-8	2843
agat-five_prime_utr-9	231
agat-five_prime_utr-10	93
agat-five_prime_utr-11	151
agat-five_prime_utr-12	126
agat-five_prime_utr-13	803
agat-five_prime_utr-14	14
agat-five_prime_utr-16	173
agat-five_prime_utr-17	271
agat-five_prime_utr-18	697
agat-five_prime_utr-19	147
agat-five_prime_utr-20	663
agat-five_prime_utr-21	76
agat-five_prime_utr-22	532
agat-five_prime_utr-24	336
agat-five_prime_utr-25	260
agat-five_prime_utr-27	320
agat-five_prime_utr-28	43
agat-five_prime_utr-29	200
agat-five_prime_utr-30	36
agat-five_prime_utr-31	121
agat-five_prime_utr-32	230
agat-five_prime_utr-34	647
agat-five_prime_utr-35	111
agat-five_prime_utr-36	83
agat-five_prime_utr-37	104
agat-five_prime_utr-39	119
agat-five_prime_utr-40	86
agat-five_prime_utr-41	299
agat-five_prime_utr-42	119
agat-five_prime_utr-44	268
agat-five_prime_utr-45	139
agat-five_prime_utr-46	117
agat-five_prime_utr-48	458
agat-five_prime_utr-51	487
agat-five_prime_utr-52	364
agat-five_prime_utr-53	427
agat-five_prime_utr-54	254
agat-five_prime_utr-55	440
agat-five_prime_utr-56	126
agat-five_prime_utr-57	52
agat-five_prime_utr-59	307
agat-five_prime_utr-61	307
agat-five_prime_utr-62	165
agat-five_prime_utr-63	213
agat-five_prime_utr-65	404
agat-five_prime_utr-66	279
agat-five_prime_utr-67	318
agat-five_prime_utr-69	150
agat-five_prime_utr-70	198
agat-five_prime_utr-71	175
agat-five_prime_utr-72	220
agat-five_prime_utr-73	371
agat-five_prime_utr-74	154
agat-five_prime_utr-75	42
agat-five_prime_utr-76	35
agat-five_prime_utr-77	169
agat-five_prime_utr-78	417
agat-five_prime_utr-79	144
agat-five_prime_utr-80	231
agat-five_prime_utr-82	200
agat-five_prime_utr-83	322
agat-five_prime_utr-84	380
agat-five_prime_utr-85	256
agat-five_prime_utr-86	102
agat-five_prime_utr-87	392
agat-five_prime_utr-88	239
agat-five_prime_utr-89	304
agat-five_prime_utr-90	96
agat-five_prime_utr-91	114
agat-five_prime_utr-92	223
agat-five_prime_utr-94	87
agat-five_prime_utr-95	2
agat-five_prime_utr-97	525
agat-five_prime_utr-98	66
agat-five_prime_utr-99	138
agat-five_prime_utr-100	127
agat-five_prime_utr-102	175
agat-five_prime_utr-104	430
agat-five_prime_utr-105	190
agat-five_prime_utr-106	205
agat-five_prime_utr-107	247
agat-five_prime_utr-108	54
agat-five_prime_utr-109	522
agat-five_prime_utr-110	139
agat-five_prime_utr-111	177
agat-five_prime_utr-112	92
agat-five_prime_utr-113	52
agat-five_prime_utr-117	2987
agat-five_prime_utr-119	220
agat-five_prime_utr-121	220
agat-five_prime_utr-122	139
agat-five_prime_utr-124	292
agat-five_prime_utr-125	218
agat-five_prime_utr-126	119
agat-five_prime_utr-127	268
agat-five_prime_utr-128	45
agat-five_prime_utr-130	145
agat-five_prime_utr-131	128
agat-five_prime_utr-133	120
agat-five_prime_utr-134	264
agat-five_prime_utr-136	256
agat-five_prime_utr-138	150
agat-five_prime_utr-139	372
agat-five_prime_utr-141	364
agat-five_prime_utr-142	758
agat-five_prime_utr-144	655
agat-five_prime_utr-145	162
agat-five_prime_utr-146	186
agat-five_prime_utr-147	233
agat-five_prime_utr-148	248
agat-five_prime_utr-149	1355
agat-five_prime_utr-150	559
agat-five_prime_utr-152	52
agat-five_prime_utr-153	145
agat-five_prime_utr-154	124
agat-five_prime_utr-155	242
agat-five_prime_utr-157	131
agat-five_prime_utr-158	141
agat-five_prime_utr-159	221
agat-five_prime_utr-161	157
agat-five_prime_utr-162	167
agat-five_prime_utr-163	34
agat-five_prime_utr-166	429
agat-five_prime_utr-168	1913
agat-five_prime_utr-169	20
agat-five_prime_utr-170	173
agat-five_prime_utr-171	373
agat-five_prime_utr-172	131
agat-five_prime_utr-173	196
agat-five_prime_utr-174	104
agat-five_prime_utr-175	24
agat-five_prime_utr-177	143
agat-five_prime_utr-179	87
agat-five_prime_utr-182	171
agat-five_prime_utr-183	956
agat-five_prime_utr-184	177
agat-five_prime_utr-185	116
agat-five_prime_utr-187	149
agat-five_prime_utr-189	189
agat-five_prime_utr-190	241
agat-five_prime_utr-191	289
agat-five_prime_utr-192	194
agat-five_prime_utr-193	143
agat-five_prime_utr-194	715
agat-five_prime_utr-195	259
agat-five_prime_utr-196	259
agat-five_prime_utr-198	175
agat-five_prime_utr-199	124
agat-five_prime_utr-200	244
agat-five_prime_utr-201	177
agat-five_prime_utr-202	305
agat-five_prime_utr-204	202
agat-five_prime_utr-205	10
agat-five_prime_utr-206	80
agat-five_prime_utr-208	205
agat-five_prime_utr-209	563
agat-five_prime_utr-210	277
agat-five_prime_utr-211	205
agat-five_prime_utr-212	193
agat-five_prime_utr-213	133
agat-five_prime_utr-215	287
agat-five_prime_utr-216	191
agat-five_prime_utr-217	83
agat-five_prime_utr-219	214
agat-five_prime_utr-220	137
agat-five_prime_utr-221	381
agat-five_prime_utr-222	73
agat-five_prime_utr-223	182
agat-five_prime_utr-224	127
agat-five_prime_utr-225	348
agat-five_prime_utr-226	178
agat-five_prime_utr-227	178
agat-five_prime_utr-228	186
agat-five_prime_utr-229	186
agat-five_prime_utr-230	186
agat-five_prime_utr-231	168
agat-five_prime_utr-232	674
agat-five_prime_utr-234	160
agat-five_prime_utr-235	129
agat-five_prime_utr-240	390
agat-five_prime_utr-244	160
agat-five_prime_utr-245	342
agat-five_prime_utr-246	120
agat-five_prime_utr-248	101
agat-five_prime_utr-250	101
agat-five_prime_utr-253	691
agat-five_prime_utr-254	322
agat-five_prime_utr-255	195
agat-five_prime_utr-256	195
agat-five_prime_utr-258	155
agat-five_prime_utr-259	80
agat-five_prime_utr-261	255
agat-five_prime_utr-264	503
agat-five_prime_utr-265	334
agat-five_prime_utr-266	6
agat-five_prime_utr-267	38
agat-five_prime_utr-268	56
agat-five_prime_utr-270	194
agat-five_prime_utr-272	118
agat-five_prime_utr-273	196
agat-five_prime_utr-274	295
agat-five_prime_utr-275	112
agat-five_prime_utr-277	234
agat-five_prime_utr-278	174
agat-five_prime_utr-281	299
agat-five_prime_utr-282	180
agat-five_prime_utr-283	324
agat-five_prime_utr-284	166
agat-five_prime_utr-286	120
agat-five_prime_utr-287	155
agat-five_prime_utr-288	180
agat-five_prime_utr-289	114
agat-five_prime_utr-290	154
agat-five_prime_utr-291	62
agat-five_prime_utr-292	188
agat-five_prime_utr-293	40
agat-five_prime_utr-294	213
agat-five_prime_utr-295	91
agat-five_prime_utr-296	14
agat-five_prime_utr-297	143
agat-five_prime_utr-298	161
agat-five_prime_utr-299	14
agat-five_prime_utr-300	458
agat-five_prime_utr-301	247
agat-five_prime_utr-303	195
agat-five_prime_utr-304	38
agat-five_prime_utr-305	5
agat-five_prime_utr-307	118
agat-five_prime_utr-309	195
agat-five_prime_utr-311	509
agat-five_prime_utr-314	490
agat-five_prime_utr-318	514
agat-five_prime_utr-319	161
agat-five_prime_utr-320	210
agat-five_prime_utr-321	62
agat-five_prime_utr-323	175
agat-five_prime_utr-324	131
agat-five_prime_utr-325	91
agat-five_prime_utr-326	147
agat-five_prime_utr-327	302
agat-five_prime_utr-328	148
agat-five_prime_utr-330	349
agat-five_prime_utr-331	213
agat-five_prime_utr-332	884
agat-five_prime_utr-335	394
agat-five_prime_utr-336	27
agat-five_prime_utr-338	208
agat-five_prime_utr-340	276
agat-five_prime_utr-341	189
agat-five_prime_utr-343	254
agat-five_prime_utr-345	204
agat-five_prime_utr-346	279
agat-five_prime_utr-347	5
