Name	Size(bp)
intron_added-1	256
intron_added-2	1084
intron_added-3	1580
intron_added-4	503
intron_added-5	3734
intron_added-6	9667
intron_added-7	8919
intron_added-8	764
intron_added-9	10641
intron_added-10	17464
intron_added-11	20683
intron_added-12	12321
intron_added-13	23199
intron_added-14	21917
intron_added-15	578
intron_added-16	8966
intron_added-17	5601
intron_added-18	441
intron_added-19	424
intron_added-20	25
intron_added-21	8887
intron_added-22	23005
intron_added-23	14929
intron_added-24	1805
intron_added-25	10040
intron_added-26	16200
intron_added-27	1666
intron_added-28	8116
intron_added-29	23200
intron_added-30	14592
intron_added-31	9173
intron_added-32	9565
intron_added-33	1355
intron_added-34	23496
intron_added-35	1000
intron_added-36	827
intron_added-37	804
intron_added-38	514
intron_added-39	941
intron_added-40	764
intron_added-41	2578
intron_added-42	1133
intron_added-43	2424
intron_added-44	89
intron_added-45	600
intron_added-46	1799
intron_added-47	7065
intron_added-48	945
intron_added-49	2589
intron_added-50	13627
intron_added-51	8092
intron_added-52	170
intron_added-53	138
intron_added-54	256
intron_added-55	867
intron_added-56	6023
intron_added-57	3546
intron_added-58	5837
intron_added-59	15640
intron_added-60	55
intron_added-61	4465
intron_added-62	2574
intron_added-63	5684
intron_added-64	353
intron_added-65	3907
intron_added-66	1714
intron_added-67	1091
intron_added-68	624
intron_added-69	175
intron_added-70	1712
intron_added-71	744
intron_added-72	327
intron_added-73	1974
intron_added-74	6933
intron_added-75	16318
intron_added-76	6974
intron_added-77	1339
intron_added-78	9565
intron_added-79	7474
intron_added-80	406
intron_added-81	2229
intron_added-82	616
intron_added-83	377
intron_added-84	848
intron_added-85	1192
intron_added-86	314
intron_added-87	541
intron_added-88	976
intron_added-89	650
intron_added-90	338
intron_added-91	298
intron_added-92	1081
intron_added-93	297
intron_added-94	165
intron_added-95	280
intron_added-96	410
intron_added-97	257
intron_added-98	676
intron_added-99	91
intron_added-100	4425
intron_added-101	1395
intron_added-102	563
intron_added-103	2610
intron_added-104	5271
intron_added-105	8568
intron_added-106	3517
intron_added-107	4558
intron_added-108	22317
intron_added-109	12463
intron_added-110	2619
intron_added-111	3553
intron_added-112	4504
intron_added-113	5013
intron_added-114	1972
intron_added-115	5674
intron_added-116	3896
intron_added-117	107
intron_added-118	387
intron_added-119	4143
intron_added-120	13139
intron_added-121	8658
intron_added-122	480
intron_added-123	19583
intron_added-124	121
intron_added-125	96
intron_added-126	11266
intron_added-127	594
intron_added-128	99
intron_added-129	1137
intron_added-130	556
intron_added-131	625
intron_added-132	406
intron_added-133	10962
intron_added-134	1623
intron_added-135	2988
intron_added-136	14593
intron_added-137	21638
intron_added-138	5883
intron_added-139	22682
intron_added-140	3817
intron_added-141	88
intron_added-142	17287
intron_added-143	6489
intron_added-144	6071
intron_added-145	3706
intron_added-146	630
intron_added-147	11827
intron_added-148	101
intron_added-149	182
intron_added-150	985
intron_added-151	1600
intron_added-152	368
intron_added-153	5315
intron_added-154	3505
intron_added-155	5832
intron_added-156	448
intron_added-157	187
intron_added-158	301
intron_added-159	128
intron_added-160	148
intron_added-161	4956
intron_added-162	519
intron_added-163	657
intron_added-164	586
intron_added-165	270
intron_added-166	373
intron_added-167	1837
intron_added-168	1682
intron_added-169	167
intron_added-170	2935
intron_added-171	89
intron_added-172	90
intron_added-173	5414
intron_added-174	4953
intron_added-175	905
intron_added-176	633
intron_added-177	849
intron_added-178	1642
intron_added-179	319
intron_added-180	569
intron_added-181	1065
intron_added-182	854
intron_added-183	548
intron_added-184	322
intron_added-185	779
intron_added-186	89
intron_added-187	459
intron_added-188	739
intron_added-189	1681
intron_added-190	11396
intron_added-191	4782
intron_added-192	121
intron_added-193	963
intron_added-194	425
intron_added-195	812
intron_added-196	918
intron_added-197	1561
intron_added-198	411
intron_added-199	1396
intron_added-200	416
intron_added-201	4059
intron_added-202	311
intron_added-203	544
intron_added-204	610
intron_added-205	764
intron_added-206	752
intron_added-207	382
intron_added-208	547
intron_added-209	2509
intron_added-210	1530
intron_added-211	3207
intron_added-212	215
intron_added-213	253
intron_added-214	1184
intron_added-215	1089
intron_added-216	1265
intron_added-217	1074
intron_added-218	1378
intron_added-219	5009
intron_added-220	680
intron_added-221	7694
intron_added-222	1066
intron_added-223	2235
intron_added-224	1442
intron_added-225	820
intron_added-226	2246
intron_added-227	520
intron_added-228	1508
intron_added-229	664
intron_added-230	2044
intron_added-231	5564
intron_added-232	2431
intron_added-233	7169
intron_added-234	4488
intron_added-235	6565
intron_added-236	1019
intron_added-237	9350
intron_added-238	3357
intron_added-239	2164
intron_added-240	65
intron_added-241	481
intron_added-242	14479
intron_added-243	21185
intron_added-244	488
intron_added-245	5851
intron_added-246	16097
intron_added-247	7848
intron_added-248	6286
intron_added-249	1316
intron_added-250	4269
intron_added-251	4079
intron_added-252	3749
intron_added-253	200
intron_added-254	7011
intron_added-255	1170
intron_added-256	1365
intron_added-257	1757
intron_added-258	4869
intron_added-259	3207
intron_added-260	1339
intron_added-261	1268
intron_added-262	86
intron_added-263	1329
intron_added-264	334
intron_added-265	1454
intron_added-266	1331
intron_added-267	256
intron_added-268	417
intron_added-269	6608
intron_added-270	3777
intron_added-271	1405
intron_added-272	851
intron_added-273	780
intron_added-274	3204
intron_added-275	532
intron_added-276	1214
intron_added-277	753
intron_added-278	583
intron_added-279	5272
intron_added-280	397
intron_added-281	994
intron_added-282	415
intron_added-283	858
intron_added-284	629
intron_added-285	237
intron_added-286	2337
intron_added-287	1424
intron_added-288	715
intron_added-289	306
intron_added-290	605
intron_added-291	530
intron_added-292	981
intron_added-293	14999
intron_added-294	1870
intron_added-295	1303
intron_added-296	48
intron_added-297	876
intron_added-298	1812
intron_added-299	1916
intron_added-300	2332
intron_added-301	395
intron_added-302	273
intron_added-303	1231
intron_added-304	400
intron_added-305	2792
intron_added-306	1622
intron_added-307	479
intron_added-308	224
intron_added-309	242
intron_added-310	4353
intron_added-311	4815
intron_added-312	1623
intron_added-313	1922
intron_added-314	268
intron_added-315	413
intron_added-316	190
intron_added-317	2934
intron_added-318	156
intron_added-319	291
intron_added-320	2258
intron_added-321	574
intron_added-322	709
intron_added-323	1385
intron_added-324	627
intron_added-325	671
intron_added-326	291
intron_added-327	547
intron_added-328	81
intron_added-329	203
intron_added-330	673
intron_added-331	89
intron_added-332	676
intron_added-333	127
intron_added-334	395
intron_added-335	1860
intron_added-336	2107
intron_added-337	1648
intron_added-338	935
intron_added-339	4852
intron_added-340	2482
intron_added-341	1411
intron_added-342	7239
intron_added-343	1473
intron_added-344	7113
intron_added-345	4851
intron_added-346	488
intron_added-347	609
intron_added-348	1125
intron_added-349	574
intron_added-350	1725
intron_added-351	5979
intron_added-352	1030
intron_added-353	87
intron_added-354	5258
intron_added-355	456
intron_added-356	1757
intron_added-357	122
intron_added-358	48
intron_added-359	332
intron_added-360	20
intron_added-361	1289
intron_added-362	188
intron_added-363	599
intron_added-364	235
intron_added-365	392
intron_added-366	1025
intron_added-367	317
intron_added-368	72
intron_added-369	298
intron_added-370	3272
intron_added-371	2448
intron_added-372	4568
intron_added-373	317
intron_added-374	337
intron_added-375	258
intron_added-376	256
intron_added-377	24
intron_added-378	18
intron_added-379	4647
intron_added-380	5015
intron_added-381	657
intron_added-382	21
intron_added-383	2210
intron_added-384	257
intron_added-385	836
intron_added-386	1060
intron_added-387	280
intron_added-388	471
intron_added-389	947
intron_added-390	438
intron_added-391	81
intron_added-392	146
intron_added-393	670
intron_added-394	248
intron_added-395	640
intron_added-396	543
intron_added-397	656
intron_added-398	535
intron_added-399	18615
intron_added-400	2738
intron_added-401	535
intron_added-402	4620
intron_added-403	74
intron_added-404	1729
intron_added-405	450
intron_added-406	988
intron_added-407	588
intron_added-408	992
intron_added-409	417
intron_added-410	464
intron_added-411	1227
intron_added-412	365
intron_added-413	348
intron_added-414	797
intron_added-415	682
intron_added-416	428
intron_added-417	213
intron_added-418	315
intron_added-419	143
intron_added-420	577
intron_added-421	344
intron_added-422	757
intron_added-423	144
intron_added-424	247
intron_added-425	352
intron_added-426	435
intron_added-427	234
intron_added-428	242
intron_added-429	2633
intron_added-430	676
intron_added-431	3139
intron_added-432	329
intron_added-433	479
intron_added-434	1110
intron_added-435	552
intron_added-436	807
intron_added-437	992
intron_added-438	875
intron_added-439	321
intron_added-440	371
intron_added-441	1577
intron_added-442	296
intron_added-443	349
intron_added-444	309
intron_added-445	2029
intron_added-446	670
intron_added-447	544
intron_added-448	1748
intron_added-449	991
intron_added-450	630
intron_added-451	498
intron_added-452	2598
intron_added-453	582
intron_added-454	710
intron_added-455	353
intron_added-456	237
intron_added-457	100
intron_added-458	147
intron_added-459	114
intron_added-460	1438
intron_added-461	671
intron_added-462	351
intron_added-463	413
intron_added-464	788
intron_added-465	1073
intron_added-466	310
intron_added-467	654
intron_added-468	83
intron_added-469	16138
intron_added-470	2390
intron_added-471	2693
intron_added-472	670
intron_added-473	13711
intron_added-474	1643
intron_added-475	253
intron_added-476	1580
intron_added-477	82
intron_added-478	5519
intron_added-479	5318
intron_added-480	2347
intron_added-481	11665
intron_added-482	269
intron_added-483	4828
intron_added-484	10256
intron_added-485	1128
intron_added-486	784
intron_added-487	592
intron_added-488	1495
intron_added-489	815
intron_added-490	884
intron_added-491	906
intron_added-492	2034
intron_added-493	1071
intron_added-494	597
intron_added-495	1120
intron_added-496	3734
intron_added-497	2303
intron_added-498	5350
intron_added-499	314
intron_added-500	380
intron_added-501	5350
intron_added-502	437
intron_added-503	125
intron_added-504	2223
intron_added-505	15660
intron_added-506	4808
intron_added-507	8648
intron_added-508	20732
intron_added-509	936
intron_added-510	1294
intron_added-511	9528
intron_added-512	1271
intron_added-513	2803
intron_added-514	452
intron_added-515	2299
intron_added-516	951
intron_added-517	999
intron_added-518	1713
intron_added-519	14986
intron_added-520	21301
intron_added-521	1607
intron_added-522	417
intron_added-523	658
intron_added-524	5867
intron_added-525	9486
intron_added-526	3432
intron_added-527	6883
intron_added-528	18769
intron_added-529	3804
intron_added-530	102
intron_added-531	2610
intron_added-532	1992
intron_added-533	15357
intron_added-534	3360
intron_added-535	796
intron_added-536	212
intron_added-537	968
intron_added-538	1114
intron_added-539	514
intron_added-540	1306
intron_added-541	664
intron_added-542	915
intron_added-543	857
intron_added-544	616
intron_added-545	1554
intron_added-546	1401
intron_added-547	3054
intron_added-548	148
intron_added-549	168
intron_added-550	955
intron_added-551	499
intron_added-552	110
intron_added-553	785
intron_added-554	513
intron_added-555	568
intron_added-556	685
intron_added-557	915
intron_added-558	917
intron_added-559	285
intron_added-560	997
intron_added-561	2288
intron_added-562	249
intron_added-563	10263
intron_added-564	9514
intron_added-565	992
intron_added-566	919
intron_added-567	1012
intron_added-568	907
intron_added-569	70
intron_added-570	2370
intron_added-571	3602
intron_added-572	799
intron_added-573	835
intron_added-574	221
intron_added-575	1081
intron_added-576	369
intron_added-577	2559
intron_added-578	304
intron_added-579	1971
intron_added-580	114
intron_added-581	901
intron_added-582	523
intron_added-583	1333
intron_added-584	172
intron_added-585	1259
intron_added-586	1014
intron_added-587	242
intron_added-588	252
intron_added-589	3632
intron_added-590	287
intron_added-591	264
intron_added-592	250
intron_added-593	945
intron_added-594	165
intron_added-595	749
intron_added-596	3523
intron_added-597	11499
intron_added-598	1719
intron_added-599	12334
intron_added-600	177
intron_added-601	467
intron_added-602	717
intron_added-603	426
intron_added-604	1170
intron_added-605	248
intron_added-606	2231
intron_added-607	3060
intron_added-608	1486
intron_added-609	569
intron_added-610	249
intron_added-611	384
intron_added-612	362
intron_added-613	283
intron_added-614	959
intron_added-615	512
intron_added-616	1177
intron_added-617	1200
intron_added-618	423
intron_added-619	782
