Name	Size(bp)
exon_ilHelHell1.1_Chr16_1.1	1281
exon_ilHelHell1.1_Chr16_1.2	3642
exon_ilHelHell1.1_Chr16_10.1	1377
exon_ilHelHell1.1_Chr16_100.1	68
exon_ilHelHell1.1_Chr16_100.2	442
exon_ilHelHell1.1_Chr16_1000.6	32
exon_ilHelHell1.1_Chr16_1000.5	132
exon_ilHelHell1.1_Chr16_1000.4	59
exon_ilHelHell1.1_Chr16_1000.3	58
exon_ilHelHell1.1_Chr16_1000.2	103
exon_ilHelHell1.1_Chr16_1000.1	3
exon_ilHelHell1.1_Chr16_1001.1	1497
exon_ilHelHell1.1_Chr16_1001.2	1296
exon_ilHelHell1.1_Chr16_1002.1	606
exon_ilHelHell1.1_Chr16_1003.1	816
exon_ilHelHell1.1_Chr16_1004.3	6
exon_ilHelHell1.1_Chr16_1004.2	937
exon_ilHelHell1.1_Chr16_1004.1	1289
exon_ilHelHell1.1_Chr16_1005.1	729
exon_ilHelHell1.1_Chr16_1006.2	32
exon_ilHelHell1.1_Chr16_1006.1	532
exon_ilHelHell1.1_Chr16_1007.4	161
exon_ilHelHell1.1_Chr16_1007.3	4312
exon_ilHelHell1.1_Chr16_1007.2	26
exon_ilHelHell1.1_Chr16_1007.1	43
exon_ilHelHell1.1_Chr16_1008.1	747
exon_ilHelHell1.1_Chr16_1009.1	1372
exon_ilHelHell1.1_Chr16_1009.2	2149
exon_ilHelHell1.1_Chr16_1009.3	1834
exon_ilHelHell1.1_Chr16_101.1	22
exon_ilHelHell1.1_Chr16_101.2	5081
exon_ilHelHell1.1_Chr16_1010.1	50
exon_ilHelHell1.1_Chr16_1010.2	35
exon_ilHelHell1.1_Chr16_1010.3	2285
exon_ilHelHell1.1_Chr16_1010.4	12
exon_ilHelHell1.1_Chr16_1011.1	547
exon_ilHelHell1.1_Chr16_1011.2	160
exon_ilHelHell1.1_Chr16_1011.3	50
exon_ilHelHell1.1_Chr16_1011.4	87
exon_ilHelHell1.1_Chr16_1011.5	187
exon_ilHelHell1.1_Chr16_1011.6	229
exon_ilHelHell1.1_Chr16_1011.7	207
exon_ilHelHell1.1_Chr16_1012.3	199
exon_ilHelHell1.1_Chr16_1012.2	46
exon_ilHelHell1.1_Chr16_1012.1	16
exon_ilHelHell1.1_Chr16_1013.6	15
exon_ilHelHell1.1_Chr16_1013.5	344
exon_ilHelHell1.1_Chr16_1013.4	309
exon_ilHelHell1.1_Chr16_1013.3	135
exon_ilHelHell1.1_Chr16_1013.2	44
exon_ilHelHell1.1_Chr16_1013.1	98
exon_ilHelHell1.1_Chr16_1014.1	43
exon_ilHelHell1.1_Chr16_1014.2	113
exon_ilHelHell1.1_Chr16_1015.1	91
exon_ilHelHell1.1_Chr16_1015.2	397
exon_ilHelHell1.1_Chr16_1015.3	654
exon_ilHelHell1.1_Chr16_1015.4	177
exon_ilHelHell1.1_Chr16_1015.5	195
exon_ilHelHell1.1_Chr16_1015.6	109
exon_ilHelHell1.1_Chr16_1015.7	111
exon_ilHelHell1.1_Chr16_1016.14	23
exon_ilHelHell1.1_Chr16_1016.13	211
exon_ilHelHell1.1_Chr16_1016.12	116
exon_ilHelHell1.1_Chr16_1016.11	146
exon_ilHelHell1.1_Chr16_1016.10	136
exon_ilHelHell1.1_Chr16_1016.9	144
exon_ilHelHell1.1_Chr16_1016.8	269
exon_ilHelHell1.1_Chr16_1016.7	174
exon_ilHelHell1.1_Chr16_1016.6	442
exon_ilHelHell1.1_Chr16_1016.5	187
exon_ilHelHell1.1_Chr16_1016.4	132
exon_ilHelHell1.1_Chr16_1016.3	168
exon_ilHelHell1.1_Chr16_1016.2	91
exon_ilHelHell1.1_Chr16_1016.1	110
exon_ilHelHell1.1_Chr16_1017.1	627
exon_ilHelHell1.1_Chr16_1018.2	18
exon_ilHelHell1.1_Chr16_1018.1	324
