comparison,ref,query,variable,value
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,query_mrnas,832
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,query_mrnas,832
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,query_mrnas,1245
geneid_S_VS_geneid_R,geneid_S,geneid_R,query_mrnas,1261
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,query_mrnas,1324
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,query_mrnas,1330
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,query_mrnas,832
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,query_mrnas,1245
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,query_mrnas,1261
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,query_mrnas,1324
geneid_R_VS_geneid_S,geneid_R,geneid_S,query_mrnas,1330
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,query_mrnas,1330
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,query_mrnas,1245
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,query_mrnas,1261
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,query_mrnas,1261
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,query_mrnas,1324
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,query_mrnas,1324
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,query_mrnas,1330
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,query_mrnas,832
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,query_mrnas,1245
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,reference_mrnas,1245
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,reference_mrnas,1330
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,reference_mrnas,831
geneid_S_VS_geneid_R,geneid_S,geneid_R,reference_mrnas,1330
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,reference_mrnas,1330
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,reference_mrnas,1324
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,reference_mrnas,1324
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,reference_mrnas,1324
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,reference_mrnas,1245
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,reference_mrnas,831
geneid_R_VS_geneid_S,geneid_R,geneid_S,reference_mrnas,1261
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,reference_mrnas,831
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,reference_mrnas,1330
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,reference_mrnas,831
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,reference_mrnas,1324
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,reference_mrnas,1245
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,reference_mrnas,1261
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,reference_mrnas,1245
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,reference_mrnas,1261
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,reference_mrnas,1261
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,base_level_Se,41.0
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,base_level_Se,41.4
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,base_level_Se,61.5
geneid_S_VS_geneid_R,geneid_S,geneid_R,base_level_Se,85.8
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,base_level_Se,96.2
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,base_level_Se,99.7
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,base_level_Se,42.8
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,base_level_Se,88.0
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,base_level_Se,99.6
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,base_level_Se,71.5
geneid_R_VS_geneid_S,geneid_R,geneid_S,base_level_Se,98.8
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,base_level_Se,71.7
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,base_level_Se,85.2
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,base_level_Se,62.6
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,base_level_Se,88.8
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,base_level_Se,98.3
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,base_level_Se,98.6
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,base_level_Se,98.6
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,base_level_Se,41.6
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,base_level_Se,99.1
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,base_level_Pr,61.5
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,base_level_Pr,71.7
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,base_level_Pr,41.0
geneid_S_VS_geneid_R,geneid_S,geneid_R,base_level_Pr,98.8
geneid_S_VS_geneid_RS,geneid_S,geneid_RS,base_level_Pr,99.7
geneid_RS_VS_geneid_S,geneid_RS,geneid_S,base_level_Pr,96.2
geneid_RS_VS_CNAC_ref,geneid_RS,CNAC_ref,base_level_Pr,71.5
geneid_RS_VS_geneid_simple,geneid_RS,geneid_simple,base_level_Pr,98.3
geneid_simple_VS_geneid_R,geneid_simple,geneid_R,base_level_Pr,99.1
CNAC_ref_VS_geneid_RS,CNAC_ref,geneid_RS,base_level_Pr,42.8
geneid_R_VS_geneid_S,geneid_R,geneid_S,base_level_Pr,85.8
CNAC_ref_VS_geneid_S,CNAC_ref,geneid_S,base_level_Pr,41.4
geneid_S_VS_geneid_simple,geneid_S,geneid_simple,base_level_Pr,98.6
CNAC_ref_VS_geneid_R,CNAC_ref,geneid_R,base_level_Pr,41.6
geneid_RS_VS_geneid_R,geneid_RS,geneid_R,base_level_Pr,98.6
geneid_simple_VS_geneid_RS,geneid_simple,geneid_RS,base_level_Pr,88.0
geneid_R_VS_geneid_RS,geneid_R,geneid_RS,base_level_Pr,88.8
geneid_simple_VS_geneid_S,geneid_simple,geneid_S,base_level_Pr,85.2
geneid_R_VS_CNAC_ref,geneid_R,CNAC_ref,base_level_Pr,62.6
geneid_R_VS_geneid_simple,geneid_R,geneid_simple,base_level_Pr,99.6
geneid_simple_VS_CNAC_ref,geneid_simple,CNAC_ref,exon_level_Se,39.7
geneid_S_VS_CNAC_ref,geneid_S,CNAC_ref,exon_level_Se,41.0
CNAC_ref_VS_geneid_simple,CNAC_ref,geneid_simple,exon_level_Se,53.6
